Russian Federation, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 24/05/2016
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1987     25.97     22.92     27.21     30.31     31.85     34.56     25.77     22.86     27.11     30.01     31.29     33.34
1988     25.80     22.90     27.12     30.26     31.79     34.46     25.60     22.83     27.01     29.95     31.25     33.31
1989     25.51     22.78     26.97     30.09     31.64     34.45     25.32     22.72     26.85     29.78     31.11     33.34
1990     25.24     22.65     26.85     29.94     31.64     34.38     25.06     22.59     26.74     29.63     31.10     33.32
1991     25.03     22.60     26.72     29.81     31.52     34.35     24.85     22.54     26.61     29.48     30.97     33.22
1992     24.86     22.60     26.63     29.74     31.51     34.46     24.68     22.54     26.52     29.39     30.92     33.29
1993     24.66     22.56     26.62     29.67     31.48     34.33     24.49     22.50     26.51     29.32     30.87     33.12
1994     24.63     22.53     26.74     29.70     31.51     34.21     24.49     22.48     26.64     29.38     30.95     33.05
1995     24.80     22.67     26.91     29.84     31.54     34.28     24.65     22.62     26.81     29.53     31.00     33.13
1996     25.04     22.88     27.11     30.11     31.77     34.35     24.88     22.82     27.01     29.77     31.18     33.16
1997     25.23     22.97     27.29     30.27     31.91     34.31     25.08     22.92     27.20     29.93     31.33     33.19
1998     25.41     23.12     27.54     30.47     32.13     34.43     25.25     23.07     27.44     30.11     31.51     33.27
1999     25.57     23.29     27.70     30.69     32.30     34.53     25.40     23.24     27.60     30.32     31.65     33.29
2000     25.76     23.54     27.88     30.88     32.49     34.57     25.60     23.48     27.78     30.50     31.81     33.38
2001     25.93     23.66     28.21     31.13     32.60     34.53     25.77     23.61     28.10     30.71     31.93     33.36
2002     26.12     23.76     28.42     31.26     32.75     34.75     25.96     23.71     28.30     30.85     32.08     33.60
2003     26.27     23.85     28.61     31.40     32.77     34.78     26.09     23.80     28.49     30.97     32.03     33.65
2004     26.40     23.96     28.78     31.52     32.98     34.86     26.21     23.91     28.65     31.04     32.22     33.68
2005     26.53     24.11     28.92     31.61     33.01     34.98     26.33     24.04     28.77     31.10     32.21     33.74
2006     26.61     24.21     29.04     31.69     33.11     34.99     26.41     24.14     28.88     31.18     32.26     33.68
2007     26.97     24.34     29.14     31.76     33.18     35.01     26.75     24.27     28.98     31.24     32.35     33.79
2008     27.19     24.44     29.30     31.94     33.34     35.16     26.94     24.37     29.12     31.40     32.46     33.86
2009     27.39     24.67     29.45     32.02     33.34     35.07     27.12     24.59     29.24     31.46     32.44     33.71
2010     27.66     24.90     29.55     32.19     33.41     35.10     27.37     24.81     29.32     31.60     32.50     33.69
2011     27.69     24.91     29.49     32.16     33.42     35.06     27.40     24.82     29.26     31.56     32.48     33.65
2012     27.80     24.96     29.47     32.17     33.35     34.96     27.51     24.87     29.24     31.58     32.45     33.66
2013     27.93     25.14     29.49     32.18     33.34     34.90     27.61     25.04     29.24     31.58     32.46     33.59
2014     28.07     25.25     29.48     32.17     33.29     34.83     27.74     25.14     29.21     31.55     32.37     33.56
