Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,Collection,SourceType,   RefCode,Note
    USA,     .,    .,     ., 1969, 1969, 41,     1,   ACY,       1,0.02834,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 42,     1,   ACY,       1,0.02617,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 43,     1,   ACY,       1,0.02035,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 44,     1,   ACY,       1,0.01611,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 45,     1,   ACY,       1,0.01361,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 46,     1,   ACY,       1,0.01043,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 47,     1,   ACY,       1,0.00904,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 48,     1,   ACY,       1,0.00772,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 49,     1,   ACY,       1,0.00610,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 50,     1,   ACY,       1,0.00468,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 51,     1,   ACY,       1,0.00357,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 52,     1,   ACY,       1,0.00341,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 53,     1,   ACY,       1,0.00263,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 54,     1,   ACY,       1,0.00212,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 55,     1,   ACY,       1,0.00160,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 56,     1,   ACY,       1,0.00149,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 57,     1,   ACY,       1,0.00117,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 58,     1,   ACY,       1,0.00124,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1969, 1969, 59,    99,   ACY,       1,0.00570,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 15,     1,   ACY,       1,0.00000,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 16,     1,   ACY,       1,0.00000,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 17,     1,   ACY,       1,0.02157,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 18,     1,   ACY,       1,0.04263,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 19,     1,   ACY,       1,0.07553,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 20,     1,   ACY,       1,0.09967,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 21,     1,   ACY,       1,0.12624,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 22,     1,   ACY,       1,0.14637,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 23,     1,   ACY,       1,0.18141,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 24,     1,   ACY,       1,0.16752,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 25,     1,   ACY,       1,0.18139,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 26,     1,   ACY,       1,0.17903,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 27,     1,   ACY,       1,0.18046,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 28,     1,   ACY,       1,0.16590,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 29,     1,   ACY,       1,0.15391,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 30,     1,   ACY,       1,0.13723,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 31,     1,   ACY,       1,0.12308,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 32,     1,   ACY,       1,0.11141,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 33,     1,   ACY,       1,0.09608,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 34,     1,   ACY,       1,0.08281,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 35,     1,   ACY,       1,0.07807,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 36,     1,   ACY,       1,0.06354,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 37,     1,   ACY,       1,0.05543,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 38,     1,   ACY,       1,0.04953,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 39,     1,   ACY,       1,0.04236,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 40,     1,   ACY,       1,0.03643,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 41,     1,   ACY,       1,0.02732,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 42,     1,   ACY,       1,0.02604,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 43,     1,   ACY,       1,0.01974,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 44,     1,   ACY,       1,0.01526,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 45,     1,   ACY,       1,0.01367,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 46,     1,   ACY,       1,0.01025,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 47,     1,   ACY,       1,0.00871,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 48,     1,   ACY,       1,0.00711,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 49,     1,   ACY,       1,0.00554,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 50,     1,   ACY,       1,0.00477,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 51,     1,   ACY,       1,0.00317,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 52,     1,   ACY,       1,0.00304,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 53,     1,   ACY,       1,0.00236,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 54,     1,   ACY,       1,0.00199,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 55,     1,   ACY,       1,0.00152,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 56,     1,   ACY,       1,0.00134,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 57,     1,   ACY,       1,0.00125,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 58,     1,   ACY,       1,0.00112,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1970, 1970, 59,    99,   ACY,       1,0.00621,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 15,     1,   ACY,       1,0.00093,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 16,     1,   ACY,       1,0.00396,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 17,     1,   ACY,       1,0.01574,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 18,     1,   ACY,       1,0.04051,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 19,     1,   ACY,       1,0.06827,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 20,     1,   ACY,       1,0.09123,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 21,     1,   ACY,       1,0.11411,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 22,     1,   ACY,       1,0.13257,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 23,     1,   ACY,       1,0.15429,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 24,     1,   ACY,       1,0.16696,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 25,     1,   ACY,       1,0.15839,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 26,     1,   ACY,       1,0.16587,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 27,     1,   ACY,       1,0.15925,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 28,     1,   ACY,       1,0.15972,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 29,     1,   ACY,       1,0.14083,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 30,     1,   ACY,       1,0.12568,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 31,     1,   ACY,       1,0.11606,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 32,     1,   ACY,       1,0.10243,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 33,     1,   ACY,       1,0.09022,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 34,     1,   ACY,       1,0.07653,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 35,     1,   ACY,       1,0.06965,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 36,     1,   ACY,       1,0.06116,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 37,     1,   ACY,       1,0.05089,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 38,     1,   ACY,       1,0.04497,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 39,     1,   ACY,       1,0.03770,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 40,     1,   ACY,       1,0.03269,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 41,     1,   ACY,       1,0.02563,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 42,     1,   ACY,       1,0.02289,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 43,     1,   ACY,       1,0.01854,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 44,     1,   ACY,       1,0.01366,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 45,     1,   ACY,       1,0.01207,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 46,     1,   ACY,       1,0.00931,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 47,     1,   ACY,       1,0.00778,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 48,     1,   ACY,       1,0.00648,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 49,     1,   ACY,       1,0.00491,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 50,     1,   ACY,       1,0.00426,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 51,     1,   ACY,       1,0.00326,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 52,     1,   ACY,       1,0.00260,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 53,     1,   ACY,       1,0.00215,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 54,     1,   ACY,       1,0.00165,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 55,     1,   ACY,       1,0.00141,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 56,     1,   ACY,       1,0.00130,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 57,     1,   ACY,       1,0.00100,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 58,     1,   ACY,       1,0.00095,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1971, 1971, 59,    99,   ACY,       1,0.00453,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 15,     1,   ACY,       1,0.00106,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 16,     1,   ACY,       1,0.00444,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 17,     1,   ACY,       1,0.01651,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 18,     1,   ACY,       1,0.04037,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 19,     1,   ACY,       1,0.06384,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 20,     1,   ACY,       1,0.08200,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 21,     1,   ACY,       1,0.10128,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 22,     1,   ACY,       1,0.11567,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 23,     1,   ACY,       1,0.13292,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 24,     1,   ACY,       1,0.13476,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 25,     1,   ACY,       1,0.15069,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 26,     1,   ACY,       1,0.13932,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 27,     1,   ACY,       1,0.13956,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 28,     1,   ACY,       1,0.13384,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 29,     1,   ACY,       1,0.12786,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 30,     1,   ACY,       1,0.10988,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 31,     1,   ACY,       1,0.10104,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 32,     1,   ACY,       1,0.09125,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 33,     1,   ACY,       1,0.07968,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 34,     1,   ACY,       1,0.06789,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 35,     1,   ACY,       1,0.06000,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 36,     1,   ACY,       1,0.05365,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 37,     1,   ACY,       1,0.04560,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 38,     1,   ACY,       1,0.03936,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 39,     1,   ACY,       1,0.03283,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 40,     1,   ACY,       1,0.02842,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 41,     1,   ACY,       1,0.02217,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 42,     1,   ACY,       1,0.02123,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 43,     1,   ACY,       1,0.01569,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 44,     1,   ACY,       1,0.01208,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 45,     1,   ACY,       1,0.01063,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 46,     1,   ACY,       1,0.00840,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 47,     1,   ACY,       1,0.00722,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 48,     1,   ACY,       1,0.00582,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 49,     1,   ACY,       1,0.00441,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 50,     1,   ACY,       1,0.00380,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 51,     1,   ACY,       1,0.00256,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 52,     1,   ACY,       1,0.00251,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 53,     1,   ACY,       1,0.00184,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 54,     1,   ACY,       1,0.00154,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 55,     1,   ACY,       1,0.00125,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 56,     1,   ACY,       1,0.00103,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 57,     1,   ACY,       1,0.00089,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 58,     1,   ACY,       1,0.00080,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1972, 1972, 59,    99,   ACY,       1,0.00413,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 15,     1,   ACY,       1,0.00108,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 16,     1,   ACY,       1,0.00459,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 17,     1,   ACY,       1,0.01632,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 18,     1,   ACY,       1,0.03868,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 19,     1,   ACY,       1,0.06047,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 20,     1,   ACY,       1,0.07626,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 21,     1,   ACY,       1,0.09468,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 22,     1,   ACY,       1,0.10687,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 23,     1,   ACY,       1,0.12079,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 24,     1,   ACY,       1,0.12434,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 25,     1,   ACY,       1,0.13082,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 26,     1,   ACY,       1,0.14193,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 27,     1,   ACY,       1,0.12655,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 28,     1,   ACY,       1,0.12740,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 29,     1,   ACY,       1,0.11514,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 30,     1,   ACY,       1,0.10665,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 31,     1,   ACY,       1,0.09365,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 32,     1,   ACY,       1,0.08510,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 33,     1,   ACY,       1,0.07482,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 34,     1,   ACY,       1,0.06365,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 35,     1,   ACY,       1,0.05493,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 36,     1,   ACY,       1,0.04765,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 37,     1,   ACY,       1,0.04096,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 38,     1,   ACY,       1,0.03757,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 39,     1,   ACY,       1,0.02956,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 40,     1,   ACY,       1,0.02572,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 41,     1,   ACY,       1,0.01982,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 42,     1,   ACY,       1,0.01874,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 43,     1,   ACY,       1,0.01469,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 44,     1,   ACY,       1,0.01095,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 45,     1,   ACY,       1,0.01005,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 46,     1,   ACY,       1,0.00765,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 47,     1,   ACY,       1,0.00635,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 48,     1,   ACY,       1,0.00513,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 49,     1,   ACY,       1,0.00399,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 50,     1,   ACY,       1,0.00327,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 51,     1,   ACY,       1,0.00245,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 52,     1,   ACY,       1,0.00227,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 53,     1,   ACY,       1,0.00175,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 54,     1,   ACY,       1,0.00138,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 55,     1,   ACY,       1,0.00105,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 56,     1,   ACY,       1,0.00106,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 57,     1,   ACY,       1,0.00079,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 58,     1,   ACY,       1,0.00076,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1973, 1973, 59,    99,   ACY,       1,0.00353,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 15,     1,   ACY,       1,0.00105,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 16,     1,   ACY,       1,0.00439,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 17,     1,   ACY,       1,0.01612,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 18,     1,   ACY,       1,0.03716,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 19,     1,   ACY,       1,0.05810,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 20,     1,   ACY,       1,0.07427,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 21,     1,   ACY,       1,0.09024,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 22,     1,   ACY,       1,0.10279,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 23,     1,   ACY,       1,0.11785,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 24,     1,   ACY,       1,0.12234,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 25,     1,   ACY,       1,0.12923,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 26,     1,   ACY,       1,0.13121,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 27,     1,   ACY,       1,0.13851,        RE,  estimate,    USA_51,   .
    USA,     .,    .,     ., 1974, 1974, 28,     1,   ACY,       1,0.12272,        RE,  estimate,    USA_51,   .
