"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"35-44 years"	"35-44"	"Mar., 2018"	"2018/03"	6745	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Apr., 2018"	"2018/04"	6430	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"May, 2018"	"2018/05"	6602	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Jun., 2018"	"2018/06"	6842	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Jul., 2018"	"2018/07"	6923	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Aug., 2018"	"2018/08"	6875	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Sep., 2018"	"2018/09"	6656	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Oct., 2018"	"2018/10"	6681	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Nov., 2018"	"2018/11"	6551	Not Applicable	Not Applicable
	"35-44 years"	"35-44"	"Dec., 2018"	"2018/12"	6776	Not Applicable	Not Applicable
"Total"	"35-44 years"	"35-44"			1595873	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 1999"	"1999/01"	13577	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 1999"	"1999/02"	12246	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 1999"	"1999/03"	13298	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 1999"	"1999/04"	12364	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 1999"	"1999/05"	12602	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 1999"	"1999/06"	12185	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 1999"	"1999/07"	12823	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 1999"	"1999/08"	12227	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 1999"	"1999/09"	12368	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 1999"	"1999/10"	12866	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 1999"	"1999/11"	12436	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 1999"	"1999/12"	13982	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2000"	"2000/01"	14790	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2000"	"2000/02"	12957	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2000"	"2000/03"	13049	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2000"	"2000/04"	12628	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2000"	"2000/05"	12996	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2000"	"2000/06"	12885	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2000"	"2000/07"	13313	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2000"	"2000/08"	13255	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2000"	"2000/09"	12984	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2000"	"2000/10"	13545	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2000"	"2000/11"	13489	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2000"	"2000/12"	14450	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2001"	"2001/01"	14908	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2001"	"2001/02"	13290	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2001"	"2001/03"	14266	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2001"	"2001/04"	13745	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2001"	"2001/05"	13818	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2001"	"2001/06"	13441	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2001"	"2001/07"	13856	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2001"	"2001/08"	13889	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2001"	"2001/09"	14177	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2001"	"2001/10"	14354	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2001"	"2001/11"	13694	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2001"	"2001/12"	14627	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2002"	"2002/01"	15208	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2002"	"2002/02"	13650	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2002"	"2002/03"	14855	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2002"	"2002/04"	14066	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2002"	"2002/05"	14317	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2002"	"2002/06"	13648	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2002"	"2002/07"	14589	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2002"	"2002/08"	14166	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2002"	"2002/09"	13822	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2002"	"2002/10"	14460	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2002"	"2002/11"	14555	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2002"	"2002/12"	15049	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2003"	"2003/01"	15492	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2003"	"2003/02"	13940	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2003"	"2003/03"	15129	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2003"	"2003/04"	14440	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2003"	"2003/05"	14646	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2003"	"2003/06"	13953	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2003"	"2003/07"	14808	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2003"	"2003/08"	14668	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2003"	"2003/09"	14211	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2003"	"2003/10"	14732	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2003"	"2003/11"	14515	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2003"	"2003/12"	16247	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2004"	"2004/01"	15995	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2004"	"2004/02"	14398	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2004"	"2004/03"	15198	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2004"	"2004/04"	14427	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2004"	"2004/05"	14724	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2004"	"2004/06"	14285	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2004"	"2004/07"	15066	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2004"	"2004/08"	14622	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2004"	"2004/09"	13878	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2004"	"2004/10"	15036	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2004"	"2004/11"	14496	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2004"	"2004/12"	15572	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2005"	"2005/01"	16106	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2005"	"2005/02"	14729	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2005"	"2005/03"	15995	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2005"	"2005/04"	14999	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2005"	"2005/05"	15100	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2005"	"2005/06"	14611	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2005"	"2005/07"	15441	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2005"	"2005/08"	15213	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2005"	"2005/09"	14415	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2005"	"2005/10"	15227	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2005"	"2005/11"	15363	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2005"	"2005/12"	16331	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2006"	"2006/01"	16167	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2006"	"2006/02"	14706	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2006"	"2006/03"	16015	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2006"	"2006/04"	15153	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2006"	"2006/05"	15495	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2006"	"2006/06"	14999	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2006"	"2006/07"	15540	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2006"	"2006/08"	15150	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2006"	"2006/09"	14827	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2006"	"2006/10"	15452	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2006"	"2006/11"	15336	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2006"	"2006/12"	16191	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2007"	"2007/01"	15990	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2007"	"2007/02"	15040	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2007"	"2007/03"	16017	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2007"	"2007/04"	15219	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2007"	"2007/05"	15308	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2007"	"2007/06"	14835	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2007"	"2007/07"	15358	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2007"	"2007/08"	15307	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2007"	"2007/09"	14935	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2007"	"2007/10"	15407	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2007"	"2007/11"	15072	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2007"	"2007/12"	16198	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2008"	"2008/01"	16351	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2008"	"2008/02"	16176	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2008"	"2008/03"	16397	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2008"	"2008/04"	15294	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2008"	"2008/05"	15433	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2008"	"2008/06"	15041	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2008"	"2008/07"	15214	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2008"	"2008/08"	15218	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2008"	"2008/09"	14846	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2008"	"2008/10"	15281	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2008"	"2008/11"	15103	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2008"	"2008/12"	16188	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2009"	"2009/01"	16467	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2009"	"2009/02"	14709	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2009"	"2009/03"	16042	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2009"	"2009/04"	15107	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2009"	"2009/05"	15598	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2009"	"2009/06"	15109	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2009"	"2009/07"	15738	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2009"	"2009/08"	15464	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2009"	"2009/09"	14968	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2009"	"2009/10"	16377	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2009"	"2009/11"	15853	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2009"	"2009/12"	16136	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2010"	"2010/01"	16206	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2010"	"2010/02"	14472	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2010"	"2010/03"	15879	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2010"	"2010/04"	15027	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2010"	"2010/05"	15188	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2010"	"2010/06"	14799	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2010"	"2010/07"	15416	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2010"	"2010/08"	15083	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2010"	"2010/09"	14744	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2010"	"2010/10"	15452	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2010"	"2010/11"	15010	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2010"	"2010/12"	15931	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2011"	"2011/01"	16498	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2011"	"2011/02"	14920	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2011"	"2011/03"	16308	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2011"	"2011/04"	15013	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2011"	"2011/05"	15380	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2011"	"2011/06"	14635	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2011"	"2011/07"	15470	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2011"	"2011/08"	15174	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2011"	"2011/09"	14563	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2011"	"2011/10"	15194	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2011"	"2011/11"	14622	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2011"	"2011/12"	15470	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2012"	"2012/01"	15641	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2012"	"2012/02"	14523	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2012"	"2012/03"	15363	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2012"	"2012/04"	14462	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2012"	"2012/05"	15015	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2012"	"2012/06"	14525	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2012"	"2012/07"	15035	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2012"	"2012/08"	15012	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2012"	"2012/09"	14305	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2012"	"2012/10"	14907	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2012"	"2012/11"	14823	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2012"	"2012/12"	15852	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2013"	"2013/01"	16493	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2013"	"2013/02"	14271	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2013"	"2013/03"	15675	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2013"	"2013/04"	14527	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2013"	"2013/05"	14754	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2013"	"2013/06"	14188	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2013"	"2013/07"	14675	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2013"	"2013/08"	14616	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2013"	"2013/09"	13813	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2013"	"2013/10"	14466	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2013"	"2013/11"	14440	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2013"	"2013/12"	15806	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2014"	"2014/01"	16843	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2014"	"2014/02"	14399	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2014"	"2014/03"	15206	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2014"	"2014/04"	14269	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2014"	"2014/05"	14310	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2014"	"2014/06"	14097	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2014"	"2014/07"	14489	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2014"	"2014/08"	14397	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2014"	"2014/09"	13958	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2014"	"2014/10"	14535	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2014"	"2014/11"	14384	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2014"	"2014/12"	15030	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2015"	"2015/01"	15983	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2015"	"2015/02"	13855	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2015"	"2015/03"	15155	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2015"	"2015/04"	14244	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2015"	"2015/05"	14671	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2015"	"2015/06"	14269	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2015"	"2015/07"	14574	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2015"	"2015/08"	14541	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2015"	"2015/09"	14131	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2015"	"2015/10"	14299	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2015"	"2015/11"	14001	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2015"	"2015/12"	14771	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2016"	"2016/01"	14962	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2016"	"2016/02"	14314	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2016"	"2016/03"	15627	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2016"	"2016/04"	14293	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2016"	"2016/05"	14181	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2016"	"2016/06"	13885	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2016"	"2016/07"	14523	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2016"	"2016/08"	14184	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2016"	"2016/09"	13900	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2016"	"2016/10"	14553	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2016"	"2016/11"	14106	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2016"	"2016/12"	14988	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2017"	"2017/01"	15264	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2017"	"2017/02"	13699	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2017"	"2017/03"	14950	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2017"	"2017/04"	14069	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2017"	"2017/05"	14166	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2017"	"2017/06"	13724	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2017"	"2017/07"	13985	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2017"	"2017/08"	14143	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2017"	"2017/09"	13756	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2017"	"2017/10"	13950	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2017"	"2017/11"	13427	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2017"	"2017/12"	15009	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jan., 2018"	"2018/01"	15688	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Feb., 2018"	"2018/02"	13313	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Mar., 2018"	"2018/03"	14312	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Apr., 2018"	"2018/04"	13400	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"May, 2018"	"2018/05"	13618	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jun., 2018"	"2018/06"	13291	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Jul., 2018"	"2018/07"	13824	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Aug., 2018"	"2018/08"	13595	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Sep., 2018"	"2018/09"	13115	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Oct., 2018"	"2018/10"	13469	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Nov., 2018"	"2018/11"	13104	Not Applicable	Not Applicable
	"45-54 years"	"45-54"	"Dec., 2018"	"2018/12"	14108	Not Applicable	Not Applicable
"Total"	"45-54 years"	"45-54"			3518147	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jan., 1999"	"1999/01"	22178	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Feb., 1999"	"1999/02"	19687	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Mar., 1999"	"1999/03"	21799	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Apr., 1999"	"1999/04"	19553	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"May, 1999"	"1999/05"	19767	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jun., 1999"	"1999/06"	18542	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jul., 1999"	"1999/07"	19232	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Aug., 1999"	"1999/08"	18886	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Sep., 1999"	"1999/09"	18260	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Oct., 1999"	"1999/10"	19782	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Nov., 1999"	"1999/11"	19293	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Dec., 1999"	"1999/12"	22000	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jan., 2000"	"2000/01"	23361	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Feb., 2000"	"2000/02"	19764	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Mar., 2000"	"2000/03"	20047	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Apr., 2000"	"2000/04"	19202	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"May, 2000"	"2000/05"	20002	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jun., 2000"	"2000/06"	18828	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jul., 2000"	"2000/07"	19601	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Aug., 2000"	"2000/08"	19329	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Sep., 2000"	"2000/09"	18910	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Oct., 2000"	"2000/10"	19972	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Nov., 2000"	"2000/11"	19882	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Dec., 2000"	"2000/12"	21948	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jan., 2001"	"2001/01"	22315	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Feb., 2001"	"2001/02"	19647	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Mar., 2001"	"2001/03"	21280	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Apr., 2001"	"2001/04"	20291	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"May, 2001"	"2001/05"	20079	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jun., 2001"	"2001/06"	19183	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Jul., 2001"	"2001/07"	19756	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Aug., 2001"	"2001/08"	19806	Not Applicable	Not Applicable
	"55-64 years"	"55-64"	"Sep., 2001"	"2001/09"	19506	Not Applicable	Not Applicable
