DATE,USREC
1865-05-01,1
1865-06-01,1
1865-07-01,1
1865-08-01,1
1865-09-01,1
1865-10-01,1
1865-11-01,1
1865-12-01,1
1866-01-01,1
1866-02-01,1
1866-03-01,1
1866-04-01,1
1866-05-01,1
1866-06-01,1
1866-07-01,1
1866-08-01,1
1866-09-01,1
1866-10-01,1
1866-11-01,1
1866-12-01,1
1867-01-01,1
1867-02-01,1
1867-03-01,1
1867-04-01,1
1867-05-01,1
1867-06-01,1
1867-07-01,1
1867-08-01,1
1867-09-01,1
1867-10-01,1
1867-11-01,1
1867-12-01,1
1868-01-01,0
1868-02-01,0
1868-03-01,0
1868-04-01,0
1868-05-01,0
1868-06-01,0
1868-07-01,0
1868-08-01,0
1868-09-01,0
1868-10-01,0
1868-11-01,0
1868-12-01,0
1869-01-01,0
1869-02-01,0
1869-03-01,0
1869-04-01,0
1869-05-01,0
1869-06-01,0
1869-07-01,1
1869-08-01,1
1869-09-01,1
1869-10-01,1
1869-11-01,1
1869-12-01,1
1870-01-01,1
1870-02-01,1
1870-03-01,1
1870-04-01,1
1870-05-01,1
1870-06-01,1
1870-07-01,1
1870-08-01,1
1870-09-01,1
1870-10-01,1
1870-11-01,1
1870-12-01,1
1871-01-01,0
1871-02-01,0
1871-03-01,0
1871-04-01,0
1871-05-01,0
1871-06-01,0
1871-07-01,0
1871-08-01,0
1871-09-01,0
1871-10-01,0
1871-11-01,0
1871-12-01,0
1872-01-01,0
1872-02-01,0
1872-03-01,0
1872-04-01,0
1872-05-01,0
1872-06-01,0
1872-07-01,0
1872-08-01,0
1872-09-01,0
1872-10-01,0
1872-11-01,0
1872-12-01,0
1873-01-01,0
1873-02-01,0
1873-03-01,0
1873-04-01,0
1873-05-01,0
1873-06-01,0
1873-07-01,0
1873-08-01,0
1873-09-01,0
1873-10-01,0
1873-11-01,1
1873-12-01,1
1874-01-01,1
1874-02-01,1
1874-03-01,1
1874-04-01,1
1874-05-01,1
1874-06-01,1
1874-07-01,1
1874-08-01,1
1874-09-01,1
1874-10-01,1
1874-11-01,1
1874-12-01,1
1875-01-01,1
1875-02-01,1
1875-03-01,1
1875-04-01,1
1875-05-01,1
1875-06-01,1
1875-07-01,1
1875-08-01,1
1875-09-01,1
1875-10-01,1
1875-11-01,1
1875-12-01,1
1876-01-01,1
1876-02-01,1
1876-03-01,1
1876-04-01,1
1876-05-01,1
1876-06-01,1
1876-07-01,1
1876-08-01,1
1876-09-01,1
1876-10-01,1
1876-11-01,1
1876-12-01,1
1877-01-01,1
1877-02-01,1
1877-03-01,1
1877-04-01,1
1877-05-01,1
1877-06-01,1
1877-07-01,1
1877-08-01,1
1877-09-01,1
1877-10-01,1
1877-11-01,1
1877-12-01,1
1878-01-01,1
1878-02-01,1
1878-03-01,1
1878-04-01,1
1878-05-01,1
1878-06-01,1
1878-07-01,1
1878-08-01,1
1878-09-01,1
1878-10-01,1
1878-11-01,1
1878-12-01,1
1879-01-01,1
1879-02-01,1
1879-03-01,1
1879-04-01,0
1879-05-01,0
1879-06-01,0
1879-07-01,0
1879-08-01,0
1879-09-01,0
1879-10-01,0
1879-11-01,0
1879-12-01,0
1880-01-01,0
1880-02-01,0
1880-03-01,0
1880-04-01,0
1880-05-01,0
1880-06-01,0
1880-07-01,0
1880-08-01,0
1880-09-01,0
1880-10-01,0
1880-11-01,0
1880-12-01,0
1881-01-01,0
1881-02-01,0
1881-03-01,0
1881-04-01,0
1881-05-01,0
1881-06-01,0
1881-07-01,0
1881-08-01,0
1881-09-01,0
1881-10-01,0
1881-11-01,0
1881-12-01,0
1882-01-01,0
1882-02-01,0
1882-03-01,0
1882-04-01,1
1882-05-01,1
1882-06-01,1
1882-07-01,1
1882-08-01,1
1882-09-01,1
1882-10-01,1
1882-11-01,1
1882-12-01,1
1883-01-01,1
1883-02-01,1
1883-03-01,1
1883-04-01,1
1883-05-01,1
1883-06-01,1
1883-07-01,1
1883-08-01,1
1883-09-01,1
1883-10-01,1
1883-11-01,1
1883-12-01,1
1884-01-01,1
1884-02-01,1
1884-03-01,1
1884-04-01,1
1884-05-01,1
1884-06-01,1
1884-07-01,1
1884-08-01,1
1884-09-01,1
1884-10-01,1
1884-11-01,1
1884-12-01,1
1885-01-01,1
1885-02-01,1
1885-03-01,1
1885-04-01,1
1885-05-01,1
1885-06-01,0
1885-07-01,0
1885-08-01,0
1885-09-01,0
1885-10-01,0
1885-11-01,0
1885-12-01,0
1886-01-01,0
1886-02-01,0
1886-03-01,0
1886-04-01,0
1886-05-01,0
1886-06-01,0
1886-07-01,0
1886-08-01,0
1886-09-01,0
1886-10-01,0
1886-11-01,0
1886-12-01,0
1887-01-01,0
1887-02-01,0
1887-03-01,0
1887-04-01,1
1887-05-01,1
1887-06-01,1
1887-07-01,1
1887-08-01,1
1887-09-01,1
1887-10-01,1
1887-11-01,1
1887-12-01,1
1888-01-01,1
1888-02-01,1
1888-03-01,1
1888-04-01,1
1888-05-01,0
1888-06-01,0
1888-07-01,0
1888-08-01,0
1888-09-01,0
1888-10-01,0
1888-11-01,0
1888-12-01,0
1889-01-01,0
1889-02-01,0
1889-03-01,0
1889-04-01,0
1889-05-01,0
1889-06-01,0
1889-07-01,0
1889-08-01,0
1889-09-01,0
1889-10-01,0
1889-11-01,0
1889-12-01,0
1890-01-01,0
1890-02-01,0
1890-03-01,0
1890-04-01,0
1890-05-01,0
1890-06-01,0
1890-07-01,0
1890-08-01,1
1890-09-01,1
1890-10-01,1
1890-11-01,1
1890-12-01,1
1891-01-01,1
1891-02-01,1
1891-03-01,1
1891-04-01,1
1891-05-01,1
1891-06-01,0
1891-07-01,0
1891-08-01,0
1891-09-01,0
1891-10-01,0
1891-11-01,0
1891-12-01,0
1892-01-01,0
1892-02-01,0
1892-03-01,0
1892-04-01,0
1892-05-01,0
1892-06-01,0
1892-07-01,0
1892-08-01,0
1892-09-01,0
1892-10-01,0
1892-11-01,0
1892-12-01,0
1893-01-01,0
1893-02-01,1
1893-03-01,1
1893-04-01,1
1893-05-01,1
1893-06-01,1
1893-07-01,1
1893-08-01,1
1893-09-01,1
1893-10-01,1
1893-11-01,1
1893-12-01,1
1894-01-01,1
1894-02-01,1
1894-03-01,1
1894-04-01,1
1894-05-01,1
1894-06-01,1
1894-07-01,0
1894-08-01,0
1894-09-01,0
1894-10-01,0
1894-11-01,0
1894-12-01,0
1895-01-01,0
1895-02-01,0
1895-03-01,0
1895-04-01,0
1895-05-01,0
1895-06-01,0
1895-07-01,0
1895-08-01,0
1895-09-01,0
1895-10-01,0
1895-11-01,0
1895-12-01,0
1896-01-01,1
1896-02-01,1
1896-03-01,1
1896-04-01,1
1896-05-01,1
1896-06-01,1
1896-07-01,1
1896-08-01,1
1896-09-01,1
1896-10-01,1
1896-11-01,1
1896-12-01,1
1897-01-01,1
1897-02-01,1
1897-03-01,1
1897-04-01,1
1897-05-01,1
1897-06-01,1
1897-07-01,0
1897-08-01,0
1897-09-01,0
1897-10-01,0
1897-11-01,0
1897-12-01,0
1898-01-01,0
1898-02-01,0
1898-03-01,0
1898-04-01,0
1898-05-01,0
1898-06-01,0
1898-07-01,0
1898-08-01,0
1898-09-01,0
1898-10-01,0
1898-11-01,0
1898-12-01,0
1899-01-01,0
1899-02-01,0
1899-03-01,0
1899-04-01,0
1899-05-01,0
1899-06-01,0
1899-07-01,1
1899-08-01,1
1899-09-01,1
1899-10-01,1
1899-11-01,1
1899-12-01,1
01-01-00,1
01-02-00,1
01-03-00,1
01-04-00,1
01-05-00,1
01-06-00,1
01-07-00,1
01-08-00,1
01-09-00,1
01-10-00,1
01-11-00,1
01-12-00,1
01-01-01,0
01-02-01,0
01-03-01,0
01-04-01,0
01-05-01,0
01-06-01,0
01-07-01,0
01-08-01,0
01-09-01,0
01-10-01,0
01-11-01,0
01-12-01,0
01-01-02,0
01-02-02,0
01-03-02,0
01-04-02,0
01-05-02,0
01-06-02,0
01-07-02,0
01-08-02,0
01-09-02,0
01-10-02,1
01-11-02,1
01-12-02,1
01-01-03,1
01-02-03,1
01-03-03,1
01-04-03,1
01-05-03,1
01-06-03,1
01-07-03,1
01-08-03,1
01-09-03,1
01-10-03,1
01-11-03,1
01-12-03,1
01-01-04,1
01-02-04,1
01-03-04,1
01-04-04,1
01-05-04,1
01-06-04,1
01-07-04,1
01-08-04,1
01-09-04,0
01-10-04,0
01-11-04,0
01-12-04,0
01-01-05,0
01-02-05,0
01-03-05,0
01-04-05,0
01-05-05,0
01-06-05,0
01-07-05,0
01-08-05,0
01-09-05,0
01-10-05,0
01-11-05,0
01-12-05,0
01-01-06,0
01-02-06,0
01-03-06,0
01-04-06,0
01-05-06,0
01-06-06,0
01-07-06,0
01-08-06,0
01-09-06,0
01-10-06,0
01-11-06,0
01-12-06,0
01-01-07,0
01-02-07,0
01-03-07,0
01-04-07,0
01-05-07,0
01-06-07,1
01-07-07,1
01-08-07,1
01-09-07,1
01-10-07,1
01-11-07,1
01-12-07,1
01-01-08,1
01-02-08,1
01-03-08,1
01-04-08,1
01-05-08,1
01-06-08,1
01-07-08,0
01-08-08,0
01-09-08,0
01-10-08,0
01-11-08,0
01-12-08,0
01-01-09,0
01-02-09,0
01-03-09,0
01-04-09,0
01-05-09,0
01-06-09,0
01-07-09,0
01-08-09,0
01-09-09,0
01-10-09,0
01-11-09,0
01-12-09,0
01-01-10,0
01-02-10,1
01-03-10,1
01-04-10,1
01-05-10,1
01-06-10,1
01-07-10,1
01-08-10,1
01-09-10,1
01-10-10,1
01-11-10,1
01-12-10,1
01-01-11,1
01-02-11,1
01-03-11,1
01-04-11,1
01-05-11,1
01-06-11,1
01-07-11,1
01-08-11,1
01-09-11,1
01-10-11,1
01-11-11,1
01-12-11,1
01-01-12,1
01-02-12,0
01-03-12,0
01-04-12,0
01-05-12,0
01-06-12,0
01-07-12,0
01-08-12,0
01-09-12,0
01-10-12,0
01-11-12,0
01-12-12,0
01-01-13,0
01-02-13,1
01-03-13,1
01-04-13,1
01-05-13,1
01-06-13,1
01-07-13,1
01-08-13,1
01-09-13,1
01-10-13,1
01-11-13,1
01-12-13,1
01-01-14,1
01-02-14,1
01-03-14,1
01-04-14,1
01-05-14,1
01-06-14,1
01-07-14,1
01-08-14,1
01-09-14,1
01-10-14,1
01-11-14,1
01-12-14,1
01-01-15,0
01-02-15,0
01-03-15,0
01-04-15,0
01-05-15,0
01-06-15,0
01-07-15,0
01-08-15,0
01-09-15,0
01-10-15,0
01-11-15,0
01-12-15,0
01-01-16,0
01-02-16,0
01-03-16,0
01-04-16,0
01-05-16,0
01-06-16,0
01-07-16,0
01-08-16,0
01-09-16,0
01-10-16,0
01-11-16,0
01-12-16,0
01-01-17,0
01-02-17,0
01-03-17,0
01-04-17,0
01-05-17,0
01-06-17,0
01-07-17,0
01-08-17,0
01-09-17,0
01-10-17,0
01-11-17,0
01-12-17,0
01-01-18,0
01-02-18,0
01-03-18,0
01-04-18,0
01-05-18,0
01-06-18,0
01-07-18,0
01-08-18,0
01-09-18,1
01-10-18,1
01-11-18,1
01-12-18,1
01-01-19,1
01-02-19,1
01-03-19,1
01-04-19,0
01-05-19,0
01-06-19,0
01-07-19,0
01-08-19,0
01-09-19,0
01-10-19,0
01-11-19,0
01-12-19,0
01-01-20,0
01-02-20,1
01-03-20,1
01-04-20,1
01-05-20,1
01-06-20,1
01-07-20,1
01-08-20,1
01-09-20,1
01-10-20,1
01-11-20,1
01-12-20,1
01-01-21,1
01-02-21,1
01-03-21,1
01-04-21,1
01-05-21,1
01-06-21,1
01-07-21,1
01-08-21,0
01-09-21,0
01-10-21,0
01-11-21,0
01-12-21,0
01-01-22,0
01-02-22,0
01-03-22,0
01-04-22,0
01-05-22,0
01-06-22,0
01-07-22,0
01-08-22,0
01-09-22,0
01-10-22,0
01-11-22,0
01-12-22,0
01-01-23,0
01-02-23,0
01-03-23,0
01-04-23,0
01-05-23,0
01-06-23,1
01-07-23,1
01-08-23,1
01-09-23,1
01-10-23,1
01-11-23,1
01-12-23,1
01-01-24,1
01-02-24,1
01-03-24,1
01-04-24,1
01-05-24,1
01-06-24,1
01-07-24,1
01-08-24,0
01-09-24,0
01-10-24,0
01-11-24,0
01-12-24,0
01-01-25,0
01-02-25,0
01-03-25,0
01-04-25,0
01-05-25,0
01-06-25,0
01-07-25,0
01-08-25,0
01-09-25,0
01-10-25,0
01-11-25,0
01-12-25,0
01-01-26,0
01-02-26,0
01-03-26,0
01-04-26,0
01-05-26,0
01-06-26,0
01-07-26,0
01-08-26,0
01-09-26,0
01-10-26,0
01-11-26,1
01-12-26,1
01-01-27,1
01-02-27,1
01-03-27,1
01-04-27,1
01-05-27,1
01-06-27,1
01-07-27,1
01-08-27,1
01-09-27,1
01-10-27,1
01-11-27,1
01-12-27,0
01-01-28,0
01-02-28,0
01-03-28,0
01-04-28,0
01-05-28,0
01-06-28,0
01-07-28,0
01-08-28,0
01-09-28,0
01-10-28,0
01-11-28,0
01-12-28,0
01-01-29,0
01-02-29,0
01-03-29,0
01-04-29,0
01-05-29,0
01-06-29,0
01-07-29,0
01-08-29,0
01-09-29,1
01-10-29,1
01-11-29,1
01-12-29,1
01-01-30,1
01-02-30,1
01-03-30,1
01-04-30,1
01-05-30,1
01-06-30,1
01-07-30,1
01-08-30,1
01-09-30,1
01-10-30,1
01-11-30,1
01-12-30,1
01-01-31,1
01-02-31,1
01-03-31,1
01-04-31,1
01-05-31,1
01-06-31,1
01-07-31,1
01-08-31,1
01-09-31,1
01-10-31,1
01-11-31,1
01-12-31,1
01-01-32,1
01-02-32,1
01-03-32,1
01-04-32,1
01-05-32,1
01-06-32,1
01-07-32,1
01-08-32,1
01-09-32,1
01-10-32,1
01-11-32,1
01-12-32,1
01-01-33,1
01-02-33,1
01-03-33,1
01-04-33,0
01-05-33,0
01-06-33,0
01-07-33,0
01-08-33,0
01-09-33,0
01-10-33,0
01-11-33,0
01-12-33,0
01-01-34,0
01-02-34,0
01-03-34,0
01-04-34,0
01-05-34,0
01-06-34,0
01-07-34,0
01-08-34,0
01-09-34,0
01-10-34,0
01-11-34,0
01-12-34,0
01-01-35,0
01-02-35,0
01-03-35,0
01-04-35,0
01-05-35,0
01-06-35,0
01-07-35,0
01-08-35,0
01-09-35,0
01-10-35,0
01-11-35,0
01-12-35,0
01-01-36,0
01-02-36,0
01-03-36,0
01-04-36,0
01-05-36,0
01-06-36,0
01-07-36,0
01-08-36,0
01-09-36,0
01-10-36,0
01-11-36,0
01-12-36,0
01-01-37,0
01-02-37,0
01-03-37,0
01-04-37,0
01-05-37,0
01-06-37,1
01-07-37,1
01-08-37,1
01-09-37,1
01-10-37,1
01-11-37,1
01-12-37,1
01-01-38,1
01-02-38,1
01-03-38,1
01-04-38,1
01-05-38,1
01-06-38,1
01-07-38,0
01-08-38,0
01-09-38,0
01-10-38,0
01-11-38,0
01-12-38,0
01-01-39,0
01-02-39,0
01-03-39,0
01-04-39,0
01-05-39,0
01-06-39,0
01-07-39,0
01-08-39,0
01-09-39,0
01-10-39,0
01-11-39,0
01-12-39,0
01-01-40,0
01-02-40,0
01-03-40,0
01-04-40,0
01-05-40,0
01-06-40,0
01-07-40,0
01-08-40,0
01-09-40,0
01-10-40,0
01-11-40,0
01-12-40,0
01-01-41,0
01-02-41,0
01-03-41,0
01-04-41,0
01-05-41,0
01-06-41,0
01-07-41,0
01-08-41,0
01-09-41,0
01-10-41,0
01-11-41,0
01-12-41,0
01-01-42,0
01-02-42,0
01-03-42,0
01-04-42,0
01-05-42,0
01-06-42,0
01-07-42,0
01-08-42,0
01-09-42,0
01-10-42,0
01-11-42,0
01-12-42,0
01-01-43,0
01-02-43,0
01-03-43,0
01-04-43,0
01-05-43,0
01-06-43,0
01-07-43,0
01-08-43,0
01-09-43,0
01-10-43,0
01-11-43,0
01-12-43,0
01-01-44,0
01-02-44,0
01-03-44,0
01-04-44,0
01-05-44,0
01-06-44,0
01-07-44,0
01-08-44,0
01-09-44,0
01-10-44,0
01-11-44,0
01-12-44,0
01-01-45,0
01-02-45,0
01-03-45,1
01-04-45,1
01-05-45,1
01-06-45,1
01-07-45,1
01-08-45,1
01-09-45,1
01-10-45,1
01-11-45,0
01-12-45,0
01-01-46,0
01-02-46,0
01-03-46,0
01-04-46,0
01-05-46,0
01-06-46,0
01-07-46,0
01-08-46,0
01-09-46,0
01-10-46,0
01-11-46,0
01-12-46,0
01-01-47,0
01-02-47,0
01-03-47,0
01-04-47,0
01-05-47,0
01-06-47,0
01-07-47,0
01-08-47,0
01-09-47,0
01-10-47,0
01-11-47,0
01-12-47,0
01-01-48,0
01-02-48,0
01-03-48,0
01-04-48,0
01-05-48,0
01-06-48,0
01-07-48,0
01-08-48,0
01-09-48,0
01-10-48,0
01-11-48,0
01-12-48,1
01-01-49,1
01-02-49,1
01-03-49,1
01-04-49,1
01-05-49,1
01-06-49,1
01-07-49,1
01-08-49,1
01-09-49,1
01-10-49,1
01-11-49,0
01-12-49,0
01-01-50,0
01-02-50,0
01-03-50,0
01-04-50,0
01-05-50,0
01-06-50,0
01-07-50,0
01-08-50,0
01-09-50,0
01-10-50,0
01-11-50,0
01-12-50,0
01-01-51,0
01-02-51,0
01-03-51,0
01-04-51,0
01-05-51,0
01-06-51,0
01-07-51,0
01-08-51,0
01-09-51,0
01-10-51,0
01-11-51,0
01-12-51,0
01-01-52,0
01-02-52,0
01-03-52,0
01-04-52,0
01-05-52,0
01-06-52,0
01-07-52,0
01-08-52,0
01-09-52,0
01-10-52,0
01-11-52,0
01-12-52,0
01-01-53,0
01-02-53,0
01-03-53,0
01-04-53,0
01-05-53,0
01-06-53,0
01-07-53,0
01-08-53,1
01-09-53,1
01-10-53,1
01-11-53,1
01-12-53,1
01-01-54,1
01-02-54,1
01-03-54,1
01-04-54,1
01-05-54,1
01-06-54,0
01-07-54,0
01-08-54,0
01-09-54,0
01-10-54,0
01-11-54,0
01-12-54,0
01-01-55,0
01-02-55,0
01-03-55,0
01-04-55,0
01-05-55,0
01-06-55,0
01-07-55,0
01-08-55,0
01-09-55,0
01-10-55,0
01-11-55,0
01-12-55,0
01-01-56,0
01-02-56,0
01-03-56,0
01-04-56,0
01-05-56,0
01-06-56,0
01-07-56,0
01-08-56,0
01-09-56,0
01-10-56,0
01-11-56,0
01-12-56,0
01-01-57,0
01-02-57,0
01-03-57,0
01-04-57,0
01-05-57,0
01-06-57,0
01-07-57,0
01-08-57,0
01-09-57,1
01-10-57,1
01-11-57,1
01-12-57,1
01-01-58,1
01-02-58,1
01-03-58,1
01-04-58,1
01-05-58,0
01-06-58,0
01-07-58,0
01-08-58,0
01-09-58,0
01-10-58,0
01-11-58,0
01-12-58,0
01-01-59,0
01-02-59,0
01-03-59,0
01-04-59,0
01-05-59,0
01-06-59,0
01-07-59,0
01-08-59,0
01-09-59,0
01-10-59,0
01-11-59,0
01-12-59,0
01-01-60,0
01-02-60,0
01-03-60,0
01-04-60,0
01-05-60,1
01-06-60,1
01-07-60,1
01-08-60,1
01-09-60,1
01-10-60,1
01-11-60,1
01-12-60,1
01-01-61,1
01-02-61,1
01-03-61,0
01-04-61,0
01-05-61,0
01-06-61,0
01-07-61,0
01-08-61,0
01-09-61,0
01-10-61,0
01-11-61,0
01-12-61,0
01-01-62,0
01-02-62,0
01-03-62,0
01-04-62,0
01-05-62,0
01-06-62,0
01-07-62,0
01-08-62,0
01-09-62,0
01-10-62,0
01-11-62,0
01-12-62,0
01-01-63,0
01-02-63,0
01-03-63,0
01-04-63,0
01-05-63,0
01-06-63,0
01-07-63,0
01-08-63,0
01-09-63,0
01-10-63,0
01-11-63,0
01-12-63,0
01-01-64,0
01-02-64,0
01-03-64,0
01-04-64,0
01-05-64,0
01-06-64,0
01-07-64,0
01-08-64,0
01-09-64,0
01-10-64,0
01-11-64,0
01-12-64,0
01-01-65,0
01-02-65,0
01-03-65,0
01-04-65,0
01-05-65,0
01-06-65,0
01-07-65,0
01-08-65,0
01-09-65,0
01-10-65,0
01-11-65,0
01-12-65,0
01-01-66,0
01-02-66,0
01-03-66,0
01-04-66,0
01-05-66,0
01-06-66,0
01-07-66,0
01-08-66,0
01-09-66,0
01-10-66,0
01-11-66,0
01-12-66,0
01-01-67,0
01-02-67,0
01-03-67,0
01-04-67,0
01-05-67,0
01-06-67,0
01-07-67,0
01-08-67,0
01-09-67,0
01-10-67,0
01-11-67,0
01-12-67,0
01-01-68,0
01-02-68,0
01-03-68,0
01-04-68,0
01-05-68,0
01-06-68,0
01-07-68,0
01-08-68,0
01-09-68,0
01-10-68,0
01-11-68,0
01-12-68,0
01-01-69,0
01-02-69,0
01-03-69,0
01-04-69,0
01-05-69,0
01-06-69,0
01-07-69,0
01-08-69,0
01-09-69,0
01-10-69,0
01-11-69,0
01-12-69,0
01-01-70,1
01-02-70,1
01-03-70,1
01-04-70,1
01-05-70,1
01-06-70,1
01-07-70,1
01-08-70,1
01-09-70,1
01-10-70,1
01-11-70,1
01-12-70,0
01-01-71,0
01-02-71,0
01-03-71,0
01-04-71,0
01-05-71,0
01-06-71,0
01-07-71,0
01-08-71,0
01-09-71,0
01-10-71,0
01-11-71,0
01-12-71,0
01-01-72,0
01-02-72,0
01-03-72,0
01-04-72,0
01-05-72,0
01-06-72,0
01-07-72,0
01-08-72,0
01-09-72,0
01-10-72,0
01-11-72,0
01-12-72,0
01-01-73,0
01-02-73,0
01-03-73,0
01-04-73,0
01-05-73,0
01-06-73,0
01-07-73,0
01-08-73,0
01-09-73,0
01-10-73,0
01-11-73,0
01-12-73,1
01-01-74,1
01-02-74,1
01-03-74,1
01-04-74,1
01-05-74,1
01-06-74,1
01-07-74,1
01-08-74,1
01-09-74,1
01-10-74,1
01-11-74,1
01-12-74,1
01-01-75,1
01-02-75,1
01-03-75,1
01-04-75,0
01-05-75,0
01-06-75,0
01-07-75,0
01-08-75,0
01-09-75,0
01-10-75,0
01-11-75,0
01-12-75,0
01-01-76,0
01-02-76,0
01-03-76,0
01-04-76,0
01-05-76,0
01-06-76,0
01-07-76,0
01-08-76,0
01-09-76,0
01-10-76,0
01-11-76,0
01-12-76,0
01-01-77,0
01-02-77,0
01-03-77,0
01-04-77,0
01-05-77,0
01-06-77,0
01-07-77,0
01-08-77,0
01-09-77,0
01-10-77,0
01-11-77,0
01-12-77,0
01-01-78,0
01-02-78,0
01-03-78,0
01-04-78,0
01-05-78,0
01-06-78,0
01-07-78,0
01-08-78,0
01-09-78,0
01-10-78,0
01-11-78,0
01-12-78,0
01-01-79,0
01-02-79,0
01-03-79,0
01-04-79,0
01-05-79,0
01-06-79,0
01-07-79,0
01-08-79,0
01-09-79,0
01-10-79,0
01-11-79,0
01-12-79,0
01-01-80,0
01-02-80,1
01-03-80,1
01-04-80,1
01-05-80,1
01-06-80,1
01-07-80,1
01-08-80,0
01-09-80,0
01-10-80,0
01-11-80,0
01-12-80,0
01-01-81,0
01-02-81,0
01-03-81,0
01-04-81,0
01-05-81,0
01-06-81,0
01-07-81,0
01-08-81,1
01-09-81,1
01-10-81,1
01-11-81,1
01-12-81,1
01-01-82,1
01-02-82,1
01-03-82,1
01-04-82,1
01-05-82,1
01-06-82,1
01-07-82,1
01-08-82,1
01-09-82,1
01-10-82,1
01-11-82,1
01-12-82,0
01-01-83,0
01-02-83,0
01-03-83,0
01-04-83,0
01-05-83,0
01-06-83,0
01-07-83,0
01-08-83,0
01-09-83,0
01-10-83,0
01-11-83,0
01-12-83,0
01-01-84,0
01-02-84,0
01-03-84,0
01-04-84,0
01-05-84,0
01-06-84,0
01-07-84,0
01-08-84,0
01-09-84,0
01-10-84,0
01-11-84,0
01-12-84,0
01-01-85,0
01-02-85,0
01-03-85,0
01-04-85,0
01-05-85,0
01-06-85,0
01-07-85,0
01-08-85,0
01-09-85,0
01-10-85,0
01-11-85,0
01-12-85,0
01-01-86,0
01-02-86,0
01-03-86,0
01-04-86,0
01-05-86,0
01-06-86,0
01-07-86,0
01-08-86,0
01-09-86,0
01-10-86,0
01-11-86,0
01-12-86,0
01-01-87,0
01-02-87,0
01-03-87,0
01-04-87,0
01-05-87,0
01-06-87,0
01-07-87,0
01-08-87,0
01-09-87,0
01-10-87,0
01-11-87,0
01-12-87,0
01-01-88,0
01-02-88,0
01-03-88,0
01-04-88,0
01-05-88,0
01-06-88,0
01-07-88,0
01-08-88,0
01-09-88,0
01-10-88,0
01-11-88,0
01-12-88,0
01-01-89,0
01-02-89,0
01-03-89,0
01-04-89,0
01-05-89,0
01-06-89,0
01-07-89,0
01-08-89,0
01-09-89,0
01-10-89,0
01-11-89,0
01-12-89,0
01-01-90,0
01-02-90,0
01-03-90,0
01-04-90,0
01-05-90,0
01-06-90,0
01-07-90,0
01-08-90,1
01-09-90,1
01-10-90,1
01-11-90,1
01-12-90,1
01-01-91,1
01-02-91,1
01-03-91,1
01-04-91,0
01-05-91,0
01-06-91,0
01-07-91,0
01-08-91,0
01-09-91,0
01-10-91,0
01-11-91,0
01-12-91,0
01-01-92,0
01-02-92,0
01-03-92,0
01-04-92,0
01-05-92,0
01-06-92,0
01-07-92,0
01-08-92,0
01-09-92,0
01-10-92,0
01-11-92,0
01-12-92,0
01-01-93,0
01-02-93,0
01-03-93,0
01-04-93,0
01-05-93,0
01-06-93,0
01-07-93,0
01-08-93,0
01-09-93,0
01-10-93,0
01-11-93,0
01-12-93,0
01-01-94,0
01-02-94,0
01-03-94,0
01-04-94,0
01-05-94,0
01-06-94,0
01-07-94,0
01-08-94,0
01-09-94,0
01-10-94,0
01-11-94,0
