div,age,yes,no,niu,total
11,83,56,2703,53153,55912
11,84,80,1977,48532,50589
11,85,76,2100,47832,50008
11,86,24,1523,44368,45915
11,87,35,1224,40896,42155
11,88,90,839,38002,38931
11,89,18,566,32505,33089
12,16,4677,57210,455909,517796
12,17,9795,103855,409865,523515
12,18,19264,156755,394745,570764
12,19,27613,184942,325213,537768
12,20,45507,236780,297050,579337
12,21,54047,254489,261975,570511
12,22,73377,278188,221733,573298
12,23,84491,291574,179374,555439
12,24,88847,305662,162631,557140
12,25,112721,339036,166715,618472
12,26,110121,329714,148044,587879
12,27,109473,320974,145562,576009
12,28,104588,330834,144191,579613
12,29,103076,324955,128405,556436
12,30,118095,341198,141253,600546
12,31,96461,321094,130529,548084
12,32,98527,319789,128598,546914
12,33,95312,312746,127242,535300
12,34,85079,315024,125972,526075
12,35,95634,338061,131487,565182
12,36,81028,314572,124688,520288
12,37,79034,300532,120703,500269
12,38,79342,309703,116466,505511
12,39,75385,300410,112809,488604
12,40,83941,336967,123847,544755
12,41,71528,310091,108424,490043
12,42,72237,321066,118306,511609
12,43,70389,329269,117372,517030
12,44,67846,337422,120746,526014
12,45,76865,370148,131306,578319
12,46,64763,354928,129965,549656
12,47,69024,357418,126926,553368
12,48,68354,363965,131457,563776
12,49,65698,370714,136408,572820
12,50,76319,403051,152906,632276
12,51,63408,373960,141556,578924
12,52,63985,385464,151327,600776
12,53,62603,380585,155563,598751
12,54,62259,378720,158629,599608
12,55,63697,378318,172417,614432
12,56,59346,354750,170329,584425
12,57,54195,347987,172712,574894
12,58,53608,341610,182152,577370
12,59,50921,321028,185201,557150
12,60,51965,317474,214646,584085
12,61,42994,275630,203648,522272
12,62,38170,241082,234329,513581
12,63,32344,206660,251960,490964
12,64,31659,186835,260572,479066
12,65,25156,154613,290179,469948
12,66,20642,132235,294162,447039
12,67,14934,111391,291723,418048
12,68,13203,93418,289709,396330
12,69,11784,80303,279250,371337
12,70,9447,68058,284840,362345
12,71,6573,53524,252544,312641
12,72,5086,44843,247731,297660
12,73,4689,40541,241180,286410
12,74,3979,35125,228680,267784
12,75,3255,30019,222007,255281
12,76,3130,24200,207891,235221
12,77,2272,20866,198395,221533
12,78,1753,18787,188902,209442
12,79,1658,14414,178635,194707
12,80,1672,11350,177188,190210
12,81,921,9087,162847,172855
12,82,801,8330,156425,165556
12,83,846,6500,149365,156711
12,84,935,5081,143348,149364
12,85,545,4032,140890,145467
12,86,498,4165,126030,130693
12,87,227,2644,114255,117126
12,88,318,2430,102483,105231
12,89,108,1841,90859,92808
21,16,2658,103739,520908,627305
21,17,5245,174496,439603,619344
21,18,9646,253533,398399,661578
21,19,12992,292411,308606,614009
21,20,18533,384400,277270,680203
21,21,19696,399461,241496,660653
21,22,25707,412743,215169,653619
21,23,27573,430449,179965,637987
21,24,25665,445009,169107,639781
21,25,29349,443535,164176,637060
21,26,27529,437246,147024,611799
21,27,28561,440674,144565,613800
21,28,27899,443619,140271,611789
21,29,24763,431948,138461,595172
21,30,26243,452786,144012,623041
21,31,23384,428758,131976,584118
21,32,21649,433704,142691,598044
21,33,20629,428990,139984,589603
21,34,20858,432319,134660,587837
21,35,19688,446395,143285,609368
21,36,18108,426012,132548,576668
21,37,16247,424408,129427,570082
21,38,16583,414687,125161,556431
21,39,16025,418467,127231,561723
21,40,15616,431109,133933,580658
21,41,15442,411607,122324,549373
21,42,14298,437501,129979,581778
21,43,15592,440441,131616,587649
21,44,13641,448207,125602,587450
21,45,15101,467511,137161,619773
21,46,13579,457047,130776,601402
21,47,13219,457845,132251,603315
21,48,14061,455157,137313,606531
21,49,15525,467479,142416,625420
21,50,14994,490244,161798,667036
21,51,14430,471022,154402,639854
21,52,13950,480848,166453,661251
21,53,15412,471212,175317,661941
21,54,13962,477312,186967,678241
21,55,13618,470261,193402,677281
21,56,13040,450283,196459,659782
21,57,12819,438168,207781,658768
21,58,12887,424858,220768,658513
21,59,10852,406125,228035,645012
21,60,11046,378745,251637,641428
21,61,9940,338455,256174,604569
21,62,8102,298703,289238,596043
21,63,6930,254571,302778,564279
21,64,5796,220727,316322,542845
21,65,5383,181457,344524,531364
21,66,4284,148593,355507,508384
21,67,3529,120902,350676,475107
21,68,2817,102767,335318,440902
21,69,2321,85867,318468,406656
21,70,1587,71818,325438,398843
21,71,1213,55882,293829,350924
21,72,1041,49140,281104,331285
21,73,1131,42875,274013,318019
21,74,604,36275,263161,300040
21,75,841,32448,248351,281640
21,76,577,25989,227720,254286
21,77,681,20724,217542,238947
21,78,575,18356,214389,233320
21,79,183,15800,199045,215028
21,80,277,11207,192200,203684
21,81,179,9409,175403,184991
21,82,102,6918,170381,177401
21,83,91,6864,157285,164240
21,84,141,5093,146967,152201
21,85,88,3975,139778,143841
21,86,90,3117,132700,135907
21,87,97,2955,120181,123233
21,88,23,1925,104989,106937
21,89,53,1607,92332,93992
22,16,910,65300,211393,277603
22,17,1800,101026,167553,270379
22,18,3218,135675,161441,300334
22,19,4037,152589,126800,283426
22,20,5966,197083,104626,307675
22,21,5584,211168,89973,306725
22,22,5585,204681,77701,287967
22,23,5438,219223,68488,293149
22,24,5584,226651,65163,297398
22,25,6427,214821,56387,277635
22,26,5431,217074,56544,279049
22,27,5848,223257,54656,283761
22,28,6252,217791,54334,278377
22,29,4796,217513,52565,274874
22,30,5024,228080,56165,289269
22,31,5331,222682,54492,282505
22,32,3686,226473,53576,283735
22,33,4338,220975,57751,283064
22,34,4803,212919,52440,270162
22,35,4249,217524,50191,271964
22,36,3215,213549,50247,267011
22,37,3468,208663,47666,259797
22,38,3115,207839,44301,255255
22,39,3746,194009,43697,241452
22,40,3142,203308,45675,252125
22,41,2945,196267,42764,241976
22,42,2991,205189,48156,256336
22,43,2212,196716,47496,246424
22,44,2975,202213,45713,250901
22,45,3196,208110,45648,256954
22,46,3578,205307,47583,256468
22,47,3813,203208,45140,252161
22,48,3711,208115,46424,258250
22,49,3730,208330,51664,263724
22,50,3191,221279,59509,283979
22,51,3317,222571,56159,282047
22,52,3498,224204,63080,290782
22,53,3590,228426,63386,295402
22,54,3258,225440,66642,295340
22,55,3331,224224,70307,297862
22,56,2934,216056,74674,293664
22,57,3716,211793,77497,293006
22,58,2708,203203,80439,286350
22,59,2133,192949,82529,277611
22,60,2404,184505,93891,280800
22,61,2448,167994,95069,265511
22,62,2143,149288,112316,263747
22,63,1357,128928,118605,248890
22,64,923,114608,125098,240629
22,65,1319,93093,137678,232090
22,66,793,75701,145482,221976
22,67,545,63344,142040,205929
22,68,548,54824,138343,193715
22,69,486,46064,136538,183088
22,70,467,35512,137270,173249
22,71,489,30509,125732,156730
22,72,171,27006,120947,148124
22,73,127,23265,116760,140152
22,74,67,19849,110076,129992
22,75,260,17372,110275,127907
22,76,143,13863,103515,117521
22,77,157,12241,99059,111457
22,78,73,10603,92948,103624
22,79,42,8456,87492,95990
22,80,112,6798,85345,92255
22,81,65,5982,81700,87747
22,82,52,4121,77311,81484
22,83,0,3560,74744,78304
22,84,26,3052,70682,73760
22,85,67,2356,63864,66287
22,86,43,1670,58441,60154
22,87,26,1750,53379,55155
22,88,0,1138,50340,51478
22,89,0,615,41829,42444
31,16,2437,82270,713219,797926
31,17,5544,154062,630448,790054
31,18,12801,266057,588538,867396
31,19,14188,337123,450573,801884
31,20,20652,457462,412013,890127
31,21,23928,486601,353709,864238
31,22,24094,521050,311711,856855
31,23,26984,553403,263664,844051
31,24,24848,562711,233038,820597
31,25,31285,651969,248379,931633
31,26,30172,616348,229414,875934
31,27,29081,610972,214217,854270
31,28,25782,598255,209843,833880
31,29,26031,582699,198993,807723
31,30,27770,637459,219133,884362
31,31,25558,587463,195751,808772
31,32,26069,592078,197424,815571
31,33,23434,584893,196962,805289
31,34,23136,591605,201423,816164
31,35,23303,623150,202835,849288
31,36,21513,586880,192443,800836
31,37,21525,580306,186496,788327
31,38,18906,582967,182476,784349
31,39,18841,575019,175551,769411
31,40,21600,619581,196260,837441
31,41,18359,569724,176858,764941
31,42,17788,605643,189827,813258
31,43,18484,611386,191134,821004
31,44,17037,612981,189389,819407
31,45,19783,661032,201963,882778
31,46,17482,617974,191121,826577
31,47,19038,612678,198497,830213
31,48,19201,614582,203674,837457
31,49,18371,623292,212286,853949
31,50,20203,667312,240101,927616
31,51,18048,612656,230901,861605
31,52,18623,632941,243070,894634
31,53,19211,617856,244239,881306
31,54,15890,606284,258475,880649
31,55,16751,602420,277751,896922
31,56,15875,560327,282386,858588
31,57,16172,537932,289962,844066
31,58,15794,520629,295728,832151
31,59,14509,491259,303993,809761
31,60,13126,476739,347432,837297
31,61,12066,425760,338263,776089
31,62,10388,372949,379567,762904
31,63,8348,322027,409122,739497
31,64,7768,290651,431539,729958
31,65,6683,247433,484244,738360
31,66,5885,208973,490152,705010
31,67,4727,174469,499864,679060
31,68,3807,150900,489156,643863
31,69,3235,128973,481679,613887
31,70,2747,106579,486031,595357
31,71,1869,85324,431520,518713
31,72,1507,72968,427642,502117
31,73,1487,61593,410921,474001
31,74,1465,51925,387736,441126
31,75,944,43915,372161,417020
31,76,630,37926,340145,378701
31,77,629,30978,323887,355494
31,78,486,24718,306810,332014
31,79,325,23472,281909,305706
31,80,243,15899,272500,288642
31,81,228,13006,249965,263199
31,82,227,10642,239729,250598
31,83,203,8675,211625,220503
31,84,228,6584,199152,205964
31,85,98,5803,187752,193653
31,86,183,4564,168132,172879
31,87,38,3207,153487,156732
31,88,11,2707,132654,135372
31,89,71,1778,101535,103384
32,16,504,29174,216573,246251
32,17,500,54978,192265,247743
32,18,731,89063,175966,265760
32,19,1059,104506,136717,242282
32,20,2007,145054,125777,272838
32,21,2072,158510,114161,274743
32,22,1306,165826,94914,262046
32,23,1519,169082,84569,255170
32,24,1414,171256,77033,249703
32,25,1518,187595,78795,267908
32,26,1724,177149,74908,253781
32,27,1720,177493,70519,249732
32,28,1304,173357,71431,246092
32,29,1178,173622,67989,242789
32,30,1313,178825,67893,248031
32,31,1272,171729,64236,237237
32,32,1154,173709,65078,239941
32,33,1091,169861,68581,239533
32,34,1104,170378,65352,236834
32,35,1138,180571,68959,250668
32,36,1323,171033,65182,237538
32,37,835,172318,64920,238073
32,38,1111,168385,63484,232980
32,39,1211,165671,58963,225845
32,40,727,176315,66063,243105
32,41,1154,164324,59525,225003
32,42,1039,175562,61198,237799
32,43,1368,171598,62494,235460
32,44,1188,177589,66594,245371
32,45,828,185281,71062,257171
32,46,1068,175630,65776,242474
32,47,773,167534,65669,233976
32,48,1098,170749,67864,239711
32,49,1312,172848,75870,250030
32,50,1403,179891,78124,259418
32,51,1182,176117,80535,257834
32,52,1556,176081,83810,261447
32,53,1149,172906,90273,264328
32,54,1381,171233,89516,262130
32,55,1128,165446,100842,267416
32,56,1118,160166,97033,258317
32,57,1161,152269,103967,257397
32,58,1019,146623,104833,252475
32,59,846,143480,107361,251687
32,60,1046,132210,114545,247801
32,61,522,118327,114533,233382
32,62,541,103807,126325,230673
32,63,658,92086,135940,228684
32,64,520,81462,143229,225211
32,65,420,67902,150448,218770
32,66,477,55037,152138,207652
32,67,450,48986,149454,198890
32,68,203,40926,146574,187703
32,69,271,34638,138783,173692
32,70,243,30061,139265,169569
32,71,82,22757,126923,149762
32,72,85,20077,122570,142732
32,73,29,18621,116796,135446
32,74,11,13802,111608,125421
32,75,64,12502,105399,117965
32,76,35,9613,98148,107796
32,77,60,8282,92685,101027
32,78,97,7307,88151,95555
32,79,53,5691,81593,87337
32,80,11,4427,77841,82279
32,81,16,3859,73918,77793
32,82,16,2563,65328,67907
32,83,3,2528,59755,62286
32,84,24,1870,55035,56929
32,85,0,1758,49550,51308
32,86,10,1280,44857,46147
32,87,7,901,39456,40364
32,88,0,686,34325,35011
32,89,54,660,30425,31139
33,16,989,59665,490882,551536
33,17,1889,110045,431361,543295
33,18,3183,188170,373173,564526
33,19,4840,233619,273002,511461
33,20,5791,325406,255260,586457
33,21,6245,344214,225326,575785
33,22,5486,351612,197857,554955
33,23,6234,371878,175085,553197
33,24,6988,372729,161097,540814
33,25,7866,421494,160377,589737
33,26,6931,405437,153630,565998
33,27,6849,407523,146377,560749
33,28,6215,408904,145153,560272
33,29,5437,393265,144527,543229
33,30,6728,425660,146612,579000
33,31,5433,392333,143345,541111
33,32,5284,408558,145096,558938
33,33,5269,402874,141636,549779
33,34,4316,401604,135827,541747
33,35,5590,414894,143834,564318
33,36,4377,388730,129954,523061
33,37,4218,375603,131367,511188
33,38,4073,368581,126077,498731
33,39,4391,369606,120984,494981
33,40,3955,403391,129910,537256
33,41,3568,365470,115871,484909
33,42,4485,384715,119741,508941
33,43,4546,380424,122973,507943
33,44,4281,371741,120867,496889
33,45,4443,385487,124292,514222
33,46,3910,364993,119045,487948
33,47,4257,358861,117695,480813
33,48,3929,355986,122335,482250
33,49,4172,354465,125766,484403
33,50,5045,378269,138236,521550
33,51,4155,354130,133246,491531
33,52,4368,350239,140116,494723
33,53,4604,351050,145815,501469
33,54,4020,348587,148270,500877
33,55,5206,343959,156855,506020
33,56,4176,322322,157155,483653
33,57,4110,306753,164539,475402
33,58,3978,290988,167753,462719
33,59,3768,283606,173234,460608
33,60,3808,269248,191927,464983
33,61,2536,237784,188461,428781
33,62,3080,210310,203018,416408
33,63,2602,183667,216305,402574
33,64,2075,162506,220878,385459
33,65,1680,137069,232956,371705
33,66,1635,114334,238227,354196
33,67,1308,96540,243346,341194
33,68,786,83355,234264,318405
33,69,513,70125,225086,295724
33,70,951,61208,230929,293088
33,71,336,48394,206260,254990
33,72,349,40458,200162,240969
33,73,407,35356,195397,231160
33,74,391,29200,181638,211229
33,75,378,24639,177587,202604
33,76,240,20706,161447,182393
33,77,36,16631,151396,168063
33,78,61,13853,145574,159488
33,79,162,12020,134491,146673
33,80,60,9497,133997,143554
33,81,79,7489,120672,128240
33,82,71,6014,112831,118916
33,83,50,4538,101589,106177
33,84,21,3748,93976,97745
33,85,37,3275,85423,88735
33,86,22,2208,78376,80606
33,87,43,1892,71224,73159
33,88,27,1433,59488,60948
33,89,0,414,18506,18920
41,16,1018,48427,270877,320322
41,17,2246,77661,232071,311978
41,18,4674,128118,196499,329291
41,19,5115,150571,141939,297625
41,20,7776,199775,127188,334739
41,21,7279,215562,114358,337199
41,22,7812,224741,101706,334259
41,23,8659,233128,94363,336150
41,24,7483,232741,87276,327500
41,25,8999,246659,87356,343014
41,26,7674,243075,83958,334707
41,27,7324,239937,84480,331741
41,28,6580,243782,83759,334121
41,29,6992,234217,81121,322330
41,30,6770,250715,87377,344862
41,31,6296,230312,79727,316335
41,32,5743,243301,83553,332597
41,33,5391,234465,84399,324255
41,34,4907,235586,82001,322494
41,35,5500,245064,82830,333394
41,36,5525,232009,77053,314587
41,37,4186,231070,71680,306936
41,38,4821,226331,70423,301575
41,39,3625,217135,68310,289070
41,40,5056,233980,77526,316562
41,41,4766,206401,62001,273168
41,42,4962,219835,68470,293267
41,43,4615,215931,65937,286483
41,44,3804,224372,64085,292261
41,45,4229,233497,71910,309636
41,46,4299,219847,64230,288376
41,47,4292,209502,67222,281016
41,48,3875,207259,64411,275545
41,49,4240,203694,67611,275545
41,50,3815,225339,79158,308312
41,51,4262,202236,72353,278851
41,52,4631,214832,75618,295081
41,53,4845,214439,81393,300677
41,54,4919,211642,84313,300874
41,55,4787,210583,90473,305843
41,56,4602,200946,92520,298068
41,57,4365,191068,96213,291646
41,58,3495,183918,94221,281634
41,59,4213,174273,106715,285201
41,60,3833,175337,117948,297118
41,61,3646,153201,118371,275218
41,62,2291,140887,135396,278574
41,63,2526,120639,143159,266324
41,64,2094,105562,150606,258262
41,65,1871,87716,171367,260954
41,66,1121,73308,169290,243719
41,67,1129,63528,168711,233368
41,68,956,53530,170269,224755
41,69,713,43585,159911,204209
41,70,453,37318,161668,199439
41,71,674,30545,146448,177667
41,72,407,24500,143342,168249
41,73,364,21110,134644,156118
41,74,375,17779,130081,148235
41,75,305,15002,121079,136386
41,76,143,11752,112687,124582
41,77,282,10561,105709,116552
41,78,62,8326,102459,110847
41,79,43,7003,93520,100566
41,80,110,5202,88615,93927
41,81,53,4219,78844,83116
41,82,82,2857,73739,76678
41,83,41,2432,70001,72474
41,84,0,2130,65036,67166
41,85,13,1770,59434,61217
41,86,0,1346,51616,52962
41,87,9,1120,45387,46516
41,88,14,732,39438,40184
41,89,0,338,27854,28192
42,16,2576,44675,640323,687574
42,17,5879,91041,588892,685812
42,18,14654,194727,500256,709637
42,19,20647,269652,379344,669643
42,20,28035,380931,360673,769639
42,21,29816,409841,308868,748525
42,22,31594,440120,284144,755858
42,23,35540,468253,245976,749769
42,24,36972,481376,224809,743157
42,25,43630,553206,233772,830608
42,26,40848,542553,219105,802506
42,27,40810,532739,213290,786839
42,28,39308,536240,201335,776883
42,29,38605,523620,200108,762333
42,30,40890,569938,211645,822473
42,31,33248,511206,189836,734290
42,32,34481,524520,196192,755193
42,33,32099,516152,190153,738404
42,34,31705,515155,189293,736153
42,35,31016,532518,201501,765035
42,36,28318,498962,182830,710110
42,37,26381,482736,178916,688033
42,38,25826,485188,171075,682089
42,39,24902,471184,166868,662954
42,40,28374,523144,181607,733125
42,41,22707,462911,159592,645210
42,42,25276,486121,170634,682031
42,43,24687,488258,166174,679119
42,44,23466,489559,169255,682280
42,45,25278,521068,178502,724848
42,46,23498,488861,168065,680424
42,47,22571,483273,172629,678473
42,48,21286,484218,173682,679186
42,49,23254,481775,175415,680444
42,50,24622,518909,205359,748890
42,51,20237,470614,178866,669717
42,52,20780,486949,194993,702722
42,53,21690,472191,194015,687896
42,54,22260,463225,200713,686198
42,55,22561,466773,217915,707249
42,56,20237,436219,221269,677725
42,57,18841,418362,222324,659527
42,58,18455,409624,236196,664275
42,59,18524,380062,240547,639133
42,60,18134,371328,279878,669340
42,61,15025,326982,262902,604909
42,62,13887,294105,289562,597554
42,63,12892,254428,305926,573246
42,64,10159,229367,315173,554699
42,65,9875,191708,351176,552759
42,66,7222,157201,345266,509689
42,67,6381,130540,348493,485414
42,68,4890,111341,338389,454620
42,69,3941,92459,330292,426692
42,70,3239,73533,332751,409523
42,71,2148,59461,295370,356979
42,72,2303,50459,285132,337894
42,73,1460,42486,272378,316324
42,74,1378,37870,252489,291737
42,75,886,29718,247858,278462
42,76,874,23734,228810,253418
42,77,726,20087,217378,238191
42,78,622,17487,204648,222757
42,79,613,15349,186513,202475
42,80,250,9816,190266,200332
42,81,202,9113,172647,181962
42,82,290,6747,163492,170529
42,83,366,6742,153327,160435
42,84,104,5047,146630,151781
42,85,219,4079,134523,138821
42,86,209,2831,123046,126086
42,87,157,2403,109832,112392
42,88,166,2128,97611,99905
42,89,38,1975,86036,88049
