Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1993:Q2,GenX,612660,907377,401657,149049,148277,73443,35492,99458,294717,192728,100322,1667
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,17519815,18929565,4578483,1133928,2348101,4447097,2042256,4379699,1409749,1011171,261418,137160
1993:Q3,BabyBoom,6887184,9161864,2916274,972742,1088872,1829379,1026288,1328309,2274680,1760000,468297,46382
1993:Q3,GenX,602200,903687,337422,159209,175234,85805,36402,109616,301487,186846,112953,1688
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,17556100,18963778,4534561,1132494,2388032,4490028,2023384,4395278,1407678,1001508,265619,140551
1993:Q4,BabyBoom,7175159,9509442,2994849,993061,1190987,1898511,1079779,1352256,2334283,1788064,496177,50043
1993:Q4,GenX,692624,1028545,392188,176523,210933,71859,41866,135177,335921,209607,124373,1941
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,17579713,18969205,4351744,1110217,2423510,4437869,2128741,4517123,1389492,991852,256195,141445
1994:Q1,BabyBoom,7235235,9562177,3038645,1023039,1058689,2012583,1064611,1364611,2326942,1779916,495589,51437
1994:Q1,GenX,748175,1139989,593666,192781,141404,92085,12829,107223,391815,257701,132092,2022
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,17930594,19314720,4326349,1111032,2576905,4383672,2282278,4634485,1384127,983906,257686,142535
1994:Q2,BabyBoom,7081052,9459756,3106381,1041568,912890,2128980,983487,1286450,2378703,1806629,518929,53145
1994:Q2,GenX,710730,1139196,637478,206948,54462,129854,0,110455,428466,284087,141965,2414
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,18283194,19668787,4413532,1130237,2696887,4401280,2339905,4686945,1385593,981391,262534,141669
1994:Q3,BabyBoom,7144780,9604995,3179907,1049255,892982,2228523,960697,1293630,2460215,1863956,542940,53319
1994:Q3,GenX,619079,1051941,554155,217007,23265,140032,0,117482,432862,275702,154480,2681
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,18638907,20033149,4462193,1138627,2808928,4340219,2469819,4813362,1394242,979484,268471,146287
1994:Q4,BabyBoom,7048225,9591663,3214806,1060490,764982,2355949,883927,1311511,2543438,1898310,584988,60140
1994:Q4,GenX,551304,1010475,529092,225046,0,127835,0,128501,459170,288145,167709,3316
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,18921309,20313482,4434126,1146738,2973417,4437625,2500778,4820799,1392173,979073,269598,143502
1995:Q1,BabyBoom,7241059,9799722,3263679,1075425,825735,2395576,899377,1339930,2558663,1920951,577531,60181
1995:Q1,GenX,598151,1071155,554293,238536,0,147822,0,130503,473003,291902,177416,3685
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,19163945,20573640,4542526,1181156,3076061,4573771,2431705,4768420,1409695,990089,277125,142482
1995:Q2,BabyBoom,7624019,10278308,3379534,1066800,971114,2437198,1001928,1421734,2654289,1997877,591639,64773
1995:Q2,GenX,486895,935601,403122,236362,0,145081,0,151036,448706,250336,194362,4009
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,19282044,20716004,4645423,1205737,3142355,4739972,2296642,4685874,1433959,1002187,286607,145165
1995:Q3,BabyBoom,8090694,10827693,3439430,1063353,1171410,2452573,1146478,1554447,2736998,2049089,612981,74927
1995:Q3,GenX,493984,947212,328284,235899,40160,146690,41384,154795,453228,238495,210011,4722
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,19359045,20792878,4540312,1204967,3233528,4777686,2302727,4733657,1433833,991483,295080,147270
1995:Q4,BabyBoom,8518577,11315118,3556157,1079886,1354720,2555144,1174387,1594824,2796541,2079058,642145,75337
1995:Q4,GenX,664227,1150063,392985,244401,103910,163925,55626,189216,485836,249384,230935,5518
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,19370539,20804346,4450322,1199844,3276943,4827077,2272305,4777856,1433807,985215,292643,155948
1996:Q1,BabyBoom,8927742,11746595,3642749,1103485,1472021,2652627,1225795,1649919,2818852,2112048,625635,81169
1996:Q1,GenX,808948,1338783,499422,259095,140128,165925,69850,204363,529835,281042,243928,4864
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,19600318,21042180,4545874,1209822,3368282,4844386,2282369,4791447,1441862,985684,297756,158423
1996:Q2,BabyBoom,9146450,12026312,3692721,1108993,1550239,2759247,1229132,1685980,2879863,2154621,639758,85484
1996:Q2,GenX,761012,1317210,453982,260016,153390,164303,67761,217758,556198,291356,259065,5776
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,19832206,21281339,4602552,1214651,3435835,4857782,2312150,4858369,1449133,988097,301888,159148
1996:Q3,BabyBoom,9227053,12157869,3742401,1122760,1532967,2859349,1230398,1669993,2930816,2188826,654263,87727
1996:Q3,GenX,725946,1317810,449181,267808,124757,184077,56620,235367,591865,311915,273696,6254
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,19931967,21390402,4504353,1203915,3566094,4975553,2274737,4865749,1458434,985401,312587,160446
1996:Q4,BabyBoom,9636338,12586780,3778413,1144213,1674281,2921242,1297641,1770989,2950442,2192885,669227,88329
1996:Q4,GenX,971241,1628919,601111,279865,160796,240806,86633,259707,657678,359846,292064,5768
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,20032113,21494362,4469329,1199631,3640822,4981944,2330558,4872079,1462249,987976,308329,165944
1997:Q1,BabyBoom,9778646,12728588,3826391,1165066,1635393,3012816,1380375,1708547,2949941,2204599,648962,96380
1997:Q1,GenX,955471,1647156,670270,292404,119991,237325,89523,237643,691684,387898,296883,6903
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,20252135,21749680,4555411,1221046,3939458,5133623,2187473,4712669,1497545,1000027,325268,172250
1997:Q2,BabyBoom,10665153,13653375,3902648,1157982,2070757,3185410,1457610,1878969,2988223,2243269,641151,103802
1997:Q2,GenX,1176585,1884494,628353,288012,270623,241016,176581,279908,707908,388628,311619,7661
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,20517766,22047540,4608640,1236402,4139996,5217469,2143523,4701510,1529774,1017475,334076,178223
1997:Q3,BabyBoom,11311639,14353311,3996007,1162362,2353640,3335456,1538913,1966934,3041672,2293260,645349,103063
1997:Q3,GenX,1308235,2047168,597140,291296,360693,284022,213530,300487,738933,406272,326380,6281
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,20580010,22126383,4496992,1218631,4228585,5231417,2181684,4769075,1546374,1020747,340878,184749
1997:Q4,BabyBoom,11603395,14645783,4054035,1191357,2348678,3420651,1624960,2006103,3042389,2267644,664881,109863
1997:Q4,GenX,1411097,2223221,781245,308039,330480,254380,223515,325561,812125,465847,338406,7872
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,20811956,22394210,4568071,1235734,4510704,5376505,2058847,4644349,1582254,1039198,349638,193418
1998:Q1,BabyBoom,12727309,15762463,4149890,1193190,2795024,3637803,1772938,2213618,3035154,2288475,633518,113161
1998:Q1,GenX,1683930,2515190,793563,311212,484064,259853,323363,343135,831260,481817,340887,8556
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,21098963,22721728,4695904,1238809,4651665,5378754,2075406,4681190,1622765,1061626,356467,204671
1998:Q2,BabyBoom,13058139,16141870,4206860,1208763,2849264,3781476,1764850,2330658,3083731,2318770,653570,111391
1998:Q2,GenX,1697240,2570719,837927,320183,472843,262147,327739,349880,873479,507742,357706,8030
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,21797707,23458275,5079126,1263683,4520473,5221907,2341415,5031670,1660568,1101347,343073,216148
1998:Q3,BabyBoom,12249247,15436783,4251590,1214068,2281904,3782204,1689323,2217694,3187536,2397785,688700,101051
1998:Q3,GenX,1135388,1977813,638540,319020,206135,298615,213144,302360,842425,465708,368944,7772
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,21270742,22919337,4872362,1253541,4681900,5511802,1955610,4644123,1648595,1076087,369024,203484
1998:Q4,BabyBoom,14126804,17356295,4473784,1240075,3084504,4053685,1936249,2567999,3229492,2427823,683379,118290
1998:Q4,GenX,1854707,2806666,868555,340183,544670,227250,398791,427217,951960,553532,388869,9559
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,21297553,22931531,4939149,1264977,4679399,5560104,1913903,4573999,1633978,1067614,368339,198025
1999:Q1,BabyBoom,14511343,17820888,4651117,1250891,3119720,4196045,1948260,2654855,3309545,2508237,675722,125585
1999:Q1,GenX,1850199,2819643,835846,345439,552724,215893,435256,434485,969444,560824,398337,10282
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,21230189,22865190,4914976,1258851,4820579,5639660,1831582,4399540,1635001,1053325,375685,205991
1999:Q2,BabyBoom,15315594,18698627,4799805,1280550,3509023,4391637,1999433,2718179,3383033,2560385,682231,140417
1999:Q2,GenX,2128864,3173622,961931,365468,703142,203680,496983,442418,1044758,619489,413664,11604
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,21573319,23196875,5064890,1262671,4726983,5511910,2069484,4560938,1623556,1057057,363383,203115
1999:Q3,BabyBoom,14986473,18501415,4978106,1308563,3221617,4417052,1967005,2609073,3514943,2655212,719246,140485
1999:Q3,GenX,1957358,3036966,912330,379500,574627,285368,437214,447928,1079608,638955,429266,11388
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,21877280,23534580,5079842,1265627,5170745,5649382,1889489,4479496,1657300,1045945,386160,225195
1999:Q4,BabyBoom,16627694,20189594,5107152,1329610,4183754,4776897,2089035,2703147,3561900,2679021,725089,157790
1999:Q4,GenX,2641246,3806262,1030463,395885,947649,255476,577774,599016,1165016,709509,442372,13135
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q1,Silent,22169840,23855380,5218326,1270146,5367085,5588159,1946247,4465417,1685540,1044235,382682,258623
2000:Q1,BabyBoom,17489886,21113561,5332619,1360907,4492490,5025181,2054253,2848111,3623676,2713582,728200,181895
2000:Q1,GenX,2800455,3997488,1080520,416875,1054028,314165,596463,535438,1197032,738914,442883,15235
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,22279215,23945647,5348734,1263676,5270583,5450085,2127727,4484843,1666433,1043725,375693,247015
2000:Q2,BabyBoom,17235430,20953692,5550989,1400653,4104156,5152032,1958123,2787739,3718262,2777074,767063,174125
2000:Q2,GenX,2652733,3915230,1160865,440383,878507,365104,560646,509724,1262497,788306,459015,15176
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,22629200,24307112,5573114,1279877,5256237,5377972,2261255,4558657,1677911,1057586,373633,246692
2000:Q3,BabyBoom,17572883,21431124,5790006,1419312,4093496,5322656,2046860,2758794,3858241,2871134,814348,172759
2000:Q3,GenX,2634599,3921695,1086436,448994,862524,412292,561743,549705,1287096,793091,479092,14913
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,22684876,24312677,5606606,1252782,4897181,5226363,2510119,4819625,1627801,1044674,356975,226151
2000:Q4,BabyBoom,17134979,21092117,5987405,1471939,3419280,5342869,2024648,2845976,3957139,2915181,881775,160183
2000:Q4,GenX,2480151,3855368,1266017,477036,590253,461112,476712,584238,1375217,856929,502517,15771
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,22805257,24366732,5807138,1232205,4468404,5079547,2705255,5074183,1561475,1037548,324025,199902
2001:Q1,BabyBoom,16966375,20984469,6333905,1517097,2934807,5307789,2033286,2857585,4018094,2964444,917043,136607
2001:Q1,GenX,2334965,3757392,1441742,497431,416045,473297,357344,571532,1422427,899368,508657,14403
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,22755203,24324418,5942608,1240722,4535671,5150837,2543145,4911435,1569215,1041317,327942,199955
2001:Q2,BabyBoom,18057347,22192202,6543269,1533616,3358944,5537742,2195760,3022872,4134856,3076499,927801,130556
2001:Q2,GenX,2483187,3969667,1455002,504441,583655,432446,415551,578572,1486480,944384,528506,13591
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,22725625,24320369,6165743,1236679,4019836,4954410,2776383,5167318,1594744,1054373,291020,249352
2001:Q3,BabyBoom,17472820,21767258,6745902,1558008,2706213,5513448,2164727,3078960,4294439,3162175,982420,149843
2001:Q3,GenX,2044006,3579298,1380409,509863,356214,476235,277275,579301,1535291,985146,534341,15804
2001:Q3,Millennial,9867,25367,11244,6763,235,64,797,6264,15500,8806,6570,123
2001:Q4,Silent,22795490,24332257,6131940,1245123,4222755,5101948,2518189,5112303,1536767,1029055,313730,193982
2001:Q4,BabyBoom,18512768,22813219,6876917,1574338,3279275,5700539,2327256,3054894,4300451,3189475,978829,132148
2001:Q4,GenX,2518214,4104781,1571140,530885,550932,383017,381966,686841,1586566,1009015,564968,12584
2001:Q4,Millennial,25402,157292,73997,13914,0,53088,0,16293,131890,97391,34300,199
2002:Q1,Silent,22821789,24342411,6077483,1241802,4211942,5138842,2513646,5158696,1520623,1023658,313497,183468
2002:Q1,BabyBoom,18907497,23213809,6990316,1595437,3322904,5836574,2364521,3104057,4306313,3209795,961109,135409
2002:Q1,GenX,2682626,4377288,1796199,547083,543471,423178,392646,674712,1694663,1114332,567329,13002
2002:Q1,Millennial,84245,240694,170603,13950,0,42682,0,13460,156449,114622,41582,245
2002:Q2,Silent,22817355,24295588,6015183,1230572,3956225,5006436,2749389,5337784,1478234,1017124,300836,160274
2002:Q2,BabyBoom,18546174,22941491,7106706,1639590,2930301,5812435,2321121,3131338,4395317,3249119,1019586,126612
2002:Q2,GenX,2404487,4244828,2009270,572811,378784,465012,278845,540106,1840341,1231094,597223,12024
2002:Q2,Millennial,122778,264874,253393,0,0,7334,0,4147,142096,141790,0,305
2002:Q3,Silent,23051984,24517328,6220505,1244613,3513350,4834325,3033765,5670770,1465343,1044283,278890,142170
2002:Q3,BabyBoom,17713410,22288689,7374006,1660567,2269936,5776921,2270984,2936275,4575279,3399169,1052675,123435
2002:Q3,GenX,2046170,3954833,2025532,585588,129621,508621,136665,568806,1908663,1277132,620043,11489
2002:Q3,Millennial,15050,128418,127716,0,0,0,0,702,113368,113035,0,332
2002:Q4,Silent,23329678,24827403,6408131,1272503,3599087,4923713,2899448,5724520,1497724,1066903,296956,133865
2002:Q4,BabyBoom,18488985,23202170,7599014,1662652,2523299,5974998,2441438,3000770,4713185,3533685,1055474,124026
2002:Q4,GenX,2234489,4231492,2062283,591050,196208,480548,212726,688677,1997003,1341721,644578,10704
2002:Q4,Millennial,-36834,52282,49182,0,0,0,0,3100,89116,88818,0,298
2003:Q1,Silent,23313422,24791705,6342356,1260890,3464051,4961800,2981861,5780747,1478284,1042990,295336,139957
2003:Q1,BabyBoom,18564360,23293172,7685120,1684936,2350997,5987264,2544760,3040096,4728812,3558417,1039642,130753
2003:Q1,GenX,2272966,4390181,2287997,603767,112649,519478,200727,665563,2117215,1452476,654145,10594
2003:Q1,Millennial,31995,183702,182136,0,0,0,0,1567,151708,151450,0,258
2003:Q2,Silent,23557097,25126825,6416218,1273854,3795652,5149702,2811736,5679663,1569728,1049775,321764,198189
2003:Q2,BabyBoom,19813448,24674162,7846230,1688317,2955459,6181273,2722116,3280767,4860714,3670441,1025235,165038
2003:Q2,GenX,2572624,4841624,2416609,612413,290772,535489,319388,666953,2269000,1583686,674931,10383
2003:Q2,Millennial,77420,237849,216370,11511,0,6536,0,3433,160429,160360,0,69
2003:Q3,Silent,23929177,25532290,6658837,1300459,3879070,5231136,2788177,5674611,1603113,1092857,331401,178855
2003:Q3,BabyBoom,20366229,25400586,8119318,1692780,3212219,6249250,2857233,3269786,5034356,3843490,1035005,155861
2003:Q3,GenX,2568530,4959380,2420413,618410,357945,541136,351681,669796,2390850,1687458,693268,10124
2003:Q3,Millennial,65767,150684,109860,19221,0,18949,0,2653,84917,84846,0,71
2003:Q4,Silent,24371562,25991174,6773202,1321986,4128553,5382902,2645842,5738690,1619612,1100426,353787,165399
2003:Q4,BabyBoom,21594548,26742503,8418246,1696378,3778807,6451089,3018187,3379796,5147955,3966743,1019824,161387
2003:Q4,GenX,2963591,5452758,2505904,626666,536903,553251,455089,774945,2489167,1762887,711765,14515
2003:Q4,Millennial,27226,130819,49162,32635,0,41053,0,7968,103592,85886,17556,150
2004:Q1,Silent,25055955,26683222,6936844,1330232,4197246,5410697,2676006,6132198,1627267,1095917,356595,174756
2004:Q1,BabyBoom,22965367,28172665,8691678,1726354,4006315,6638516,3169817,3939984,5207298,4043018,995698,168581
2004:Q1,GenX,3229748,5816962,2690378,648003,593719,603170,484923,796770,2587214,1857801,715216,14196
2004:Q1,Millennial,78287,201623,124904,33169,0,31694,1055,10801,123336,94265,28962,109
2004:Q2,Silent,25412697,27105187,7277289,1366050,4140496,5438235,2749974,6133142,1692490,1147594,361901,182995
2004:Q2,BabyBoom,23500231,28921793,9107965,1734572,3972039,6798565,3408757,3899894,5421562,4258171,986735,176657
2004:Q2,GenX,3115868,5810995,2664250,653790,552229,635201,531521,774002,2695126,1955647,725409,14070
2004:Q2,Millennial,51623,92226,0,40699,0,29932,9446,12149,40603,0,40494,109
2004:Q3,Silent,25773058,27432423,7277952,1360327,4149312,5415891,2923010,6305932,1659366,1126731,368346,164288
2004:Q3,BabyBoom,24130181,29644645,9487555,1761778,3952070,6954013,3578861,3910367,5514463,4334607,1008746,171110
2004:Q3,GenX,3256460,6127237,2936496,664447,505437,721088,539256,760512,2870776,2105696,753880,11201
2004:Q3,Millennial,90629,164250,71073,41286,1569,2052,28178,20093,73621,39590,33903,127
2004:Q4,Silent,26201475,27963158,7540135,1376926,4442337,5407926,2912443,6283391,1761683,1185348,375849,200486
2004:Q4,BabyBoom,25495121,31170122,9824553,1772204,4387907,7337087,3748344,4100027,5675000,4468793,1019322,186885
2004:Q4,GenX,3870119,6849626,3096767,698510,644635,838077,639565,932072,2979507,2206022,761197,12287
2004:Q4,Millennial,104037,167876,28488,50531,3688,0,40503,44665,63839,0,63751,88
2005:Q1,Silent,26404288,28159108,7649428,1371711,4509526,5308254,3046085,6274103,1754819,1192463,368538,193818
2005:Q1,BabyBoom,25979390,31730515,10108514,1799534,4345880,7466681,3799860,4210046,5751125,4545182,1021388,184555
2005:Q1,GenX,4005120,7075870,3339071,735079,603499,913565,631223,853433,3070750,2285978,774304,10468
2005:Q1,Millennial,155595,262760,83898,48760,16638,0,53131,60333,107165,66405,40744,16
2005:Q2,Silent,26507829,28260313,7568386,1349017,4635696,5250347,3159106,6297761,1752484,1190409,367055,195019
2005:Q2,BabyBoom,26789339,32592419,10360539,1840755,4442528,7682886,3950411,4315301,5803080,4577736,1037201,188144
2005:Q2,GenX,4411653,7686271,3697964,782816,616085,1015254,670315,903837,3274618,2476103,786884,11631
2005:Q2,Millennial,280238,458013,249564,45706,25692,0,65784,71268,177775,136478,41250,48
2005:Q3,Silent,26885584,28684061,7799894,1359363,4844356,5211816,3249608,6219023,1798477,1239955,369860,188662
2005:Q3,BabyBoom,27685496,33661145,10786342,1841274,4706758,7923625,4108649,4294497,5975648,4731886,1055865,187897
2005:Q3,GenX,4731316,8145604,3863617,800660,692812,1108311,729774,950429,3414288,2600083,802263,11943
2005:Q3,Millennial,309827,467240,202698,56612,33306,0,79538,95085,157413,107002,50397,13
2005:Q4,Silent,27408531,29241156,8024322,1369444,4963949,5157936,3364653,6360851,1832625,1291328,369505,171792
2005:Q4,BabyBoom,28359574,34490835,11157597,1848879,4735313,8148362,4233603,4367080,6131261,4871166,1077096,182998
2005:Q4,GenX,5006247,8552888,4009777,823149,673321,1214469,772094,1060079,3546640,2718550,814608,13483
2005:Q4,Millennial,350598,470429,165350,64754,49665,0,94678,95982,119830,60448,59345,37
2006:Q1,Silent,27458408,29306990,7805408,1346152,5330279,5160303,3384259,6280589,1848582,1292414,368751,187418
2006:Q1,BabyBoom,29676119,35848707,11167439,1881610,5443651,8333418,4278837,4743752,6172588,4903873,1074374,194340
2006:Q1,GenX,5304294,9072831,4201249,865615,931434,1281170,818486,974878,3768537,2937116,815475,15946
2006:Q1,Millennial,418646,604982,279288,67479,42374,0,103136,112705,186336,107198,78985,153
2006:Q2,Silent,27662971,29548644,7942980,1353763,5321094,5122343,3494675,6313790,1885674,1336578,362636,186460
2006:Q2,BabyBoom,29620951,35967141,11367827,1893487,5200293,8399874,4276268,4829392,6346190,5061177,1085492,199521
2006:Q2,GenX,5094668,9011530,4259848,889635,798681,1354231,810279,898857,3916862,3066771,832440,17651
