SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018
40,1,1,44,Rhode Island,1052957,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315,981,-402,1065,521,895,156,890,-577,829,0.093166198,-0.038142661,0.101088145,0.04940257,0.084824314,0.01477249,0.084266498,-0.054585204,0.078467675,43,43,43,43,43,43,43,43,43,44,46,51,48,47,44,43,42,43,41,39,51,47,47,43,43,40,43,41
40,3,5,45,South Carolina,4625381,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127,10275,35766,45690,47041,59640,68460,65982,62984,62908,0.222143862,0.771541288,0.97807477,0.997241533,1.251848965,1.419215128,1.348703757,1.270290739,1.252843184,24,24,24,24,24,24,23,23,23,23,15,15,14,12,9,9,10,10,9,18,20,16,13,10,10,11,11,9
40,2,4,46,South Dakota,814198,816165,823484,833496,842270,849088,853933,862890,873286,882235,1967,7319,10012,8774,6818,4845,8957,10396,8949,0.241587427,0.896754945,1.2158099,1.052674518,0.809479146,0.570612233,1.048911332,1.204788559,1.024750196,46,46,46,46,46,46,46,46,46,46,41,42,38,38,39,37,33,30,34,16,13,9,9,18,22,14,12,13
40,3,6,47,Tennessee,6346286,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010,9015,42109,53871,42151,47394,49982,54203,63783,61216,0.142051587,0.662580734,0.842075152,0.653374113,0.729875973,0.764154252,0.822402959,0.959862971,0.912473986,17,17,17,17,17,17,17,16,16,16,17,13,11,14,12,12,12,9,11,29,25,20,25,21,19,17,16,16
40,3,7,48,Texas,25146114,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,96565,403548,443393,399844,487678,509672,450678,385225,379128,0.384015598,1.598673421,1.728881991,1.532578857,1.841026304,1.889273519,1.639615272,1.378881827,1.338600389,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,5,2,3,4,3,3,8,7,8
40,4,8,49,Utah,2763891,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105,11443,38882,39251,44460,39472,45098,60116,60505,57987,0.414017774,1.40098453,1.394740134,1.558104579,1.362077099,1.535303852,2.015626504,1.988586784,1.868668868,34,34,34,34,33,33,32,31,31,30,13,14,15,13,15,14,11,11,12,3,5,6,3,8,8,1,2,3
40,1,1,50,Vermont,625744,625880,626979,626063,626212,625218,625197,623644,624525,626299,136,1099,-916,149,-994,-21,-1553,881,1774,0.021734128,0.175592765,-0.146097397,0.023799522,-0.158732187,-0.003358828,-0.248401704,0.141266492,0.284055883,49,49,49,50,50,50,50,50,50,50,49,49,51,50,48,44,46,39,40,49,46,51,49,50,44,49,37,32
40,3,5,51,Virginia,8001055,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,22625,76789,84760,67824,59023,50831,48039,54261,52478,0.282775209,0.957029692,1.046359168,0.828614569,0.715165648,0.611531945,0.574429442,0.645123628,0.619925774,12,12,12,12,12,12,12,12,12,12,6,8,6,9,10,11,14,13,13,9,11,13,21,22,21,21,19,20
40,4,9,53,Washington,6724540,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,18362,78753,71221,70030,89533,111104,131137,130752,110159,0.27305957,1.167939264,1.044042831,1.015976495,1.285856796,1.575398242,1.830616498,1.792429551,1.483536581,13,13,13,13,13,13,13,13,13,13,10,7,10,8,7,5,4,4,6,10,7,14,10,9,7,5,4,6
40,3,5,54,West Virginia,1853001,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832,1213,1860,690,-2891,-4406,-7471,-11067,-13881,-11216,0.065461379,0.100312046,0.037175242,-0.155700994,-0.237664608,-0.40395422,-0.600815637,-0.75813972,-0.617264926,37,37,37,37,38,38,38,38,38,38,45,48,49,51,50,50,49,49,49,44,47,49,51,51,51,51,50,51
40,2,3,55,Wisconsin,5687282,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568,3197,14276,15100,17097,15022,9432,11552,19093,21517,0.056213144,0.25087519,0.264691472,0.298906179,0.26184636,0.163978488,0.200506612,0.330731663,0.371491895,20,20,20,20,20,20,20,20,20,20,36,30,32,25,28,31,29,23,20,46,41,39,34,32,38,36,30,27
40,4,8,56,Wyoming,563773,564483,567224,576270,582123,582548,585668,584290,578934,577737,710,2741,9046,5853,425,3120,-1378,-5356,-1197,0.125937212,0.485577068,1.594784424,1.015669738,0.073008625,0.535578184,-0.235286886,-0.916668093,-0.20675932,51,51,51,51,51,51,51,51,51,51,47,47,39,43,45,39,45,47,43,34,33,4,11,44,25,47,51,45
40,X,X,72,Puerto Rico,3726157,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153,-4632,-42793,-44244,-41411,-58203,-61708,-66671,-81494,-129848,-0.124310382,-1.149878074,-1.202697016,-1.139390197,-1.619865091,-1.745691643,-1.919603037,-2.392312333,-3.905201833,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
