"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1998:Q1","BabyBoom",36.1,38.8,43.6,43.5,35.9,39.2,42.7,30.7,55.7,60.1,47.8,35.9
"1998:Q1","GenX",4.8,6.2,8.3,11.4,6.2,2.8,7.8,4.8,15.3,12.6,25.7,2.7
"1998:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q2","Silent",58.8,54.8,48.2,44.8,58.3,57.1,49.8,63.6,29.1,27.3,26.1,63.2
"1998:Q2","BabyBoom",36.4,39,43.2,43.7,35.7,40.1,42.3,31.7,55.3,59.6,47.8,34.4
"1998:Q2","GenX",4.7,6.2,8.6,11.6,5.9,2.8,7.9,4.8,15.7,13.1,26.2,2.5
"1998:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q3","Silent",62,57.4,50.9,45.2,64.5,56.1,55.2,66.6,29.2,27.8,24.5,66.5
"1998:Q3","BabyBoom",34.8,37.8,42.6,43.4,32.6,40.7,39.8,29.4,56,60.5,49.2,31.1
"1998:Q3","GenX",3.2,4.8,6.4,11.4,2.9,3.2,5,4,14.8,11.7,26.3,2.4
"1998:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1998:Q4","Silent",57.1,53.2,47.7,44.2,56.3,56.3,45.6,60.8,28.3,26.5,25.6,61.4
"1998:Q4","BabyBoom",37.9,40.3,43.8,43.8,37.1,41.4,45.1,33.6,55.4,59.8,47.4,35.7
"1998:Q4","GenX",5,6.5,8.5,12,6.6,2.3,9.3,5.6,16.3,13.6,27,2.9
"1998:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q1","Silent",56.6,52.6,47.4,44.2,56,55.8,44.5,59.7,27.6,25.8,25.5,59.3
"1999:Q1","BabyBoom",38.5,40.9,44.6,43.7,37.4,42.1,45.3,34.6,56,60.6,46.8,37.6
"1999:Q1","GenX",4.9,6.5,8,12.1,6.6,2.2,10.1,5.7,16.4,13.6,27.6,3.1
"1999:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q2","Silent",54.9,51.1,46,43.3,53.4,55.1,42.3,58.2,27,24.9,25.5,57.5
"1999:Q2","BabyBoom",39.6,41.8,45,44.1,38.8,42.9,46.2,36,55.8,60.5,46.4,39.2
"1999:Q2","GenX",5.5,7.1,9,12.6,7.8,2,11.5,5.9,17.2,14.6,28.1,3.2
"1999:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q3","Silent",56,51.9,46.2,42.8,55.5,54,46.3,59.9,26.1,24.3,24,57.2
"1999:Q3","BabyBoom",38.9,41.4,45.4,44.3,37.8,43.2,44,34.2,56.5,61,47.6,39.6
"1999:Q3","GenX",5.1,6.8,8.3,12.9,6.7,2.8,9.8,5.9,17.4,14.7,28.4,3.2
"1999:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1999:Q4","Silent",53.2,49.5,45.3,42.3,50.2,52.9,41.5,57.6,26,23.6,24.9,56.9
"1999:Q4","BabyBoom",40.4,42.5,45.5,44.5,40.6,44.7,45.8,34.7,55.8,60.4,46.7,39.8
"1999:Q4","GenX",6.4,8,9.2,13.2,9.2,2.4,12.7,7.7,18.2,16,28.5,3.3
"1999:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q1","Silent",52.2,48.7,44.9,41.7,49.2,51.1,42.3,56.9,25.9,23.2,24.6,56.7
"2000:Q1","BabyBoom",41.2,43.1,45.8,44.7,41.2,46,44.7,36.3,55.7,60.3,46.9,39.9
"2000:Q1","GenX",6.6,8.2,9.3,13.7,9.7,2.9,13,6.8,18.4,16.4,28.5,3.3
"2000:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q2","Silent",52.8,49.1,44.3,40.7,51.4,49.7,45.8,57.6,25.1,22.6,23.5,56.6
"2000:Q2","BabyBoom",40.9,42.9,46,45.1,40,47,42.1,35.8,55.9,60.3,47.9,39.9
"2000:Q2","GenX",6.3,8,9.6,14.2,8.6,3.3,12.1,6.5,19,17.1,28.7,3.5
"2000:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q3","Silent",52.8,48.9,44.8,40.7,51.5,48.4,46.4,57.9,24.6,22.4,22.4,56.8
"2000:Q3","BabyBoom",41,43.2,46.5,45.1,40.1,47.9,42,35.1,56.5,60.8,48.8,39.8
"2000:Q3","GenX",6.2,7.9,8.7,14.3,8.4,3.7,11.5,7,18.9,16.8,28.7,3.4
"2000:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2000:Q4","Silent",53.6,49.4,43.6,39.1,55,47.4,50.1,58.4,23.4,21.7,20.5,56.2
"2000:Q4","BabyBoom",40.5,42.8,46.6,46,38.4,48.4,40.4,34.5,56.9,60.5,50.6,39.8
"2000:Q4","GenX",5.9,7.8,9.8,14.9,6.6,4.2,9.5,7.1,19.8,17.8,28.9,3.9
"2000:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q1","Silent",54.2,49.6,42.8,38,57.1,46.8,53.1,59.7,22.3,21.2,18.5,57
"2001:Q1","BabyBoom",40.3,42.7,46.6,46.7,37.5,48.9,39.9,33.6,57.4,60.5,52.4,38.9
"2001:Q1","GenX",5.5,7.7,10.6,15.3,5.3,4.4,7,6.7,20.3,18.3,29.1,4.1
"2001:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q2","Silent",52.6,48.2,42.6,37.8,53.5,46.3,49.3,57.7,21.8,20.6,18.4,58.1
"2001:Q2","BabyBoom",41.7,44,46.9,46.8,39.6,49.8,42.6,35.5,57.5,60.8,52,37.9
"2001:Q2","GenX",5.7,7.9,10.4,15.4,6.9,3.9,8.1,6.8,20.7,18.7,29.6,3.9
"2001:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"2001:Q3","Silent",53.8,48.9,43.1,37.3,56.8,45.3,53.2,58.5,21.4,20.2,16,60.1
"2001:Q3","BabyBoom",41.4,43.8,47.2,47.1,38.2,50.4,41.5,34.9,57.7,60.7,54.1,36.1
"2001:Q3","GenX",4.8,7.2,9.7,15.4,5,4.4,5.3,6.6,20.6,18.9,29.5,3.8
"2001:Q3","Millennial",0,0.1,0.1,0.2,0,0,0,0.1,0.2,0.2,0.4,0
"2001:Q4","Silent",52,47.3,41.8,37,52.4,45.4,48.2,57.6,20.3,19.3,16.6,57.2
"2001:Q4","BabyBoom",42.2,44.4,46.9,46.8,40.7,50.7,44.5,34.4,56.9,59.9,51.7,39
"2001:Q4","GenX",5.7,8,10.7,15.8,6.8,3.4,7.3,7.7,21,18.9,29.9,3.7
"2001:Q4","Millennial",0.1,0.3,0.5,0.4,0,0.5,0,0.2,1.7,1.8,1.8,0.1
"2002:Q1","Silent",51.3,46.7,40.4,36.5,52.1,44.9,47.7,57.6,19.8,18.7,16.6,55.2
"2002:Q1","BabyBoom",42.5,44.5,46.5,46.9,41.1,51,44.9,34.7,56.1,58.8,51,40.8
"2002:Q1","GenX",6,8.4,11.9,16.1,6.7,3.7,7.4,7.5,22.1,20.4,30.1,3.9
"2002:Q1","Millennial",0.2,0.5,1.1,0.4,0,0.4,0,0.2,2,2.1,2.2,0.1
"2002:Q2","Silent",52,47,39.1,35.7,54.5,44.3,51.4,59.2,18.8,18,15.7,53.6
"2002:Q2","BabyBoom",42.3,44.3,46.2,47.6,40.3,51.5,43.4,34.7,55.9,57.6,53.2,42.3
"2002:Q2","GenX",5.5,8.2,13.1,16.6,5.2,4.1,5.2,6,23.4,21.8,31.1,4
"2002:Q2","Millennial",0.3,0.5,1.6,0,0,0.1,0,0,1.8,2.5,0,0.1
"2002:Q3","Silent",53.8,48.2,39.5,35.7,59.4,43.5,55.8,61.8,18.2,17.9,14.3,51.2
"2002:Q3","BabyBoom",41.4,43.8,46.8,47.6,38.4,52,41.7,32,56.7,58.3,53.9,44.5
"2002:Q3","GenX",4.8,7.8,12.9,16.8,2.2,4.6,2.5,6.2,23.7,21.9,31.8,4.1
"2002:Q3","Millennial",0,0.3,0.8,0,0,0,0,0,1.4,1.9,0,0.1
"2002:Q4","Silent",53,47.5,39.8,36.1,57,43.3,52.2,60.8,18.1,17.7,14.9,49.8
"2002:Q4","BabyBoom",42,44.4,47.1,47.2,39.9,52.5,44,31.9,56.8,58.6,52.9,46.1
"2002:Q4","GenX",5.1,8.1,12.8,16.8,3.1,4.2,3.8,7.3,24.1,22.2,32.3,4
"2002:Q4","Millennial",-0.1,0.1,0.3,0,0,0,0,0,1.1,1.5,0,0.1
"2003:Q1","Silent",52.8,47.1,38.4,35.5,58.4,43.3,52.1,60.9,17.4,16.8,14.8,49.7
"2003:Q1","BabyBoom",42,44.2,46.6,47.5,39.7,52.2,44.4,32,55.8,57.3,52.3,46.4
"2003:Q1","GenX",5.1,8.3,13.9,17,1.9,4.5,3.5,7,25,23.4,32.9,3.8
"2003:Q1","Millennial",0.1,0.3,1.1,0,0,0,0,0,1.8,2.4,0,0.1
"2003:Q2","Silent",51.2,45.8,38,35.5,53.9,43.4,48,59,17.7,16.2,15.9,53
"2003:Q2","BabyBoom",43.1,45,46.4,47.1,42,52.1,46.5,34.1,54.9,56.8,50.7,44.2
"2003:Q2","GenX",5.6,8.8,14.3,17.1,4.1,4.5,5.5,6.9,25.6,24.5,33.4,2.8
"2003:Q2","Millennial",0.2,0.4,1.3,0.3,0,0.1,0,0,1.8,2.5,0,0
"2003:Q3","Silent",51,45.6,38.5,35.8,52.1,43.4,46.5,59,17.6,16.3,16.1,51.9
"2003:Q3","BabyBoom",43.4,45.3,46.9,46.6,43.1,51.9,47.6,34,55.2,57.3,50.3,45.2
"2003:Q3","GenX",5.5,8.8,14,17,4.8,4.5,5.9,7,26.2,25.2,33.7,2.9
"2003:Q3","Millennial",0.1,0.3,0.6,0.5,0,0.2,0,0,0.9,1.3,0,0
"2003:Q4","Silent",49.8,44.6,38.2,35.9,48.9,43.3,43.2,58,17.3,15.9,16.8,48.4
"2003:Q4","BabyBoom",44.1,45.9,47.4,46.1,44.7,51.9,49.3,34.1,55,57.4,48.5,47.3
"2003:Q4","GenX",6.1,9.4,14.1,17,6.4,4.5,7.4,7.8,26.6,25.5,33.8,4.3
"2003:Q4","Millennial",0.1,0.2,0.3,0.9,0,0.3,0,0.1,1.1,1.2,0.8,0
"2004:Q1","Silent",48.8,43.8,37.6,35.6,47.7,42.7,42.3,56.4,17,15.5,17,48.9
"2004:Q1","BabyBoom",44.7,46.3,47.1,46.2,45.5,52.3,50.1,36.2,54.6,57,47.5,47.1
"2004:Q1","GenX",6.3,9.6,14.6,17.3,6.7,4.8,7.7,7.3,27.1,26.2,34.1,4
"2004:Q1","Millennial",0.2,0.3,0.7,0.9,0,0.2,0,0.1,1.3,1.3,1.4,0
"2004:Q2","Silent",48.8,43.8,38.2,36,47.8,42.2,41,56.7,17.2,15.6,17.1,49
"2004:Q2","BabyBoom",45.1,46.7,47.8,45.7,45.8,52.7,50.9,36,55,57.8,46.7,47.3
"2004:Q2","GenX",6,9.4,14,17.2,6.4,4.9,7.9,7.2,27.4,26.6,34.3,3.8
"2004:Q2","Millennial",0.1,0.1,0,1.1,0,0.2,0.1,0.1,0.4,0,1.9,0
"2004:Q3","Silent",48.4,43.3,36.8,35.5,48.2,41.4,41.3,57.3,16.4,14.8,17,47.4
"2004:Q3","BabyBoom",45.3,46.8,48,46,45.9,53.1,50.6,35.6,54.5,57,46.6,49.4
"2004:Q3","GenX",6.1,9.7,14.9,17.4,5.9,5.5,7.6,6.9,28.4,27.7,34.8,3.2
"2004:Q3","Millennial",0.2,0.3,0.4,1.1,0,0,0.4,0.2,0.7,0.5,1.6,0
"2004:Q4","Silent",47.1,42.3,36.8,35.3,46.9,39.8,39.7,55.3,16.8,15.1,16.9,50.2
"2004:Q4","BabyBoom",45.8,47.1,47.9,45.5,46.3,54,51.1,36.1,54.2,56.9,45.9,46.8
"2004:Q4","GenX",7,10.4,15.1,17.9,6.8,6.2,8.7,8.2,28.4,28.1,34.3,3.1
"2004:Q4","Millennial",0.2,0.3,0.1,1.3,0,0,0.6,0.4,0.6,0,2.9,0
"2005:Q1","Silent",46.7,41.9,36.1,34.7,47.6,38.8,40.5,55,16.4,14.7,16.7,49.8
"2005:Q1","BabyBoom",45.9,47.2,47.7,45.5,45.9,54.5,50.5,36.9,53.8,56.2,46.3,47.5
"2005:Q1","GenX",7.1,10.5,15.8,18.6,6.4,6.7,8.4,7.5,28.7,28.3,35.1,2.7
"2005:Q1","Millennial",0.3,0.4,0.4,1.2,0.2,0,0.7,0.5,1,0.8,1.8,0
"2005:Q2","Silent",45.7,41,34.6,33.6,47.7,37.6,40.3,54.3,15.9,14.2,16.4,49.4
"2005:Q2","BabyBoom",46.2,47.2,47.4,45.8,45.7,55.1,50.4,37.2,52.7,54.6,46.5,47.7
"2005:Q2","GenX",7.6,11.1,16.9,19.5,6.3,7.3,8.5,7.8,29.7,29.5,35.2,2.9
